Year	Venue	Winners	2nd place	3rd place
2001	Heusden Zolder	Bohumil Brhel (14 pts)	Mariusz Staszewski (13 pts)	Krzysztof Cegielski (12+3 pts)
2002	Rybnik	Magnus Zetterström (12+3 pts)	Krzysztof Kasprzak (12+2 pts)	Rafał Szombierski (11+3 pts)
2003	Slaný	Krzysztof Kasprzak (12+3 pts)	Sławomir Drabik (12+2 pts)	Magnus Zetterström (11 pts)
2004	Holsted	Matej Žagar (14+3 pts)	Matej Ferjan (14+2 pts)	Hans N. Andersen (12 pts)
2005	Lonigo	Jesper B. Jensen (14+3 pts)	Aleš Dryml, Jr. (14+2 pts)	Kai Laukkanen (12 pts)
2006	Miskolc	Krzysztof Jabłoński (13+3 pts)	Grzegorz Walasek (13+2 pts)	Christian Hefenbrock (12 pts)
2007	Wiener Neustadt	Jurica Pavlic (14 pts)	Sebastian Ułamek (13 pts)	Patrick Hougaard (11 pts)
2008	Lendava	Matej Žagar (14 pts)	Sebastian Ułamek (10+3+3 pts)	Mads Korneliussen (10+2+2+2)
2009	Tolyatti	Renat Gafurov (13+3 pts)	Andriy Karpov (13+2 pts)	Aleš Dryml, Jr. (13+1 pts)
2010	Tarnów	Sebastian Ułamek (15 pts)	Aleš Dryml, Jr. (12 pts)	Andrij Karpow (11+3 pts)
2011	Rivne	Grigory Laguta (14+3 pts)	Tomasz Gapinski (14+2 pts)	Aleš Dryml, Jr. (12 pts)
Year	Venue	Winners	2nd place	3rd place
