Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	30 August 1998	Boston , USA	Hard	Jack Waite	Jacco Eltingh Paul Haarhuis	3–6, 2–6
Runner-up	15 November 1998	Stockholm , Sweden	Hard	Peter Nyborg	Nicklas Kulti Mikael Tillström	5–7, 6–3, 5–7
Winner	1 August 1999	Kitzbühel , Austria	Clay	Peter Nyborg	Álex Calatrava Dušan Vemić	6–3, 6–7 (4–7) , 7–6 (7–4)
Winner	21 July 2002	Amersfoort , Netherlands	Clay	Jeff Coetzee	André Sá Alexandre Simoni	7–6 (7–1) , 6–3
Winner	6 October 2002	Tokyo , Japan	Hard	Jeff Coetzee	Jan-Michael Gambill Graydon Oliver	7–6 (7–4) , 6–4
Winner	5 January 2003	Adelaide , Australia	Hard	Jeff Coetzee	Max Mirnyi Jeff Morrison	2–6, 6–4, 7–6 (9–7)
Runner-up	27 April 2003	Barcelona , Spain	Clay	Robbie Koenig	Bob Bryan Mike Bryan	4–6, 3–6
Runner-up	20 July 2003	Amersfoort , Netherlands	Clay	André Sá	Devin Bowen Ashley Fisher	0–6, 4–6
Runner-up	3 August 2003	Washington , USA	Hard	Paul Hanley	Yevgeny Kafelnikov Sargis Sargsian	5–7, 6–4, 2–6
Runner-up	22 February 2004	Memphis , USA	Hard	Jeff Coetzee	Bob Bryan Mike Bryan	3–6, 4–6
Runner-up	7 March 2004	Scottsdale , USA	Hard	Jeff Coetzee	Rick Leach Brian MacPhie	3–6, 1–6
Winner	22 August 2004	Washington , USA	Hard	Robbie Koenig	Travis Parrott Dmitry Tursunov	7–6 (7–3) , 6–1
Runner-up	5 February 2006	Delray Beach , USA	Hard	Wesley Moodie	Mark Knowles Daniel Nestor	2–6, 3–6
Winner	26 February 2006	Memphis , USA	Hard	Ivo Karlović	James Blake Mardy Fish	0–6, 7–5, [10–5]
Runner-up	25 June 2006	's-Hertogenbosch , Netherlands	grass	Arnaud Clément	Martin Damm Leander Paes	1–6, 6–7 (3–7)
Runner-up	14 January 2007	Auckland , New Zealand	Hard	Simon Aspelin	Jeff Coetzee Rogier Wassen	7–6 (13–11) , 3–6, [2–10]
Runner-up	18 February 2007	San Jose , USA	Hard	Rainer Schüttler	Eric Butorac Jamie Murray	5–7, 6–7 (6–8)
Runner-up	16 September 2007	Beijing , China	Hard	Lu Yen-hsun	Rik de Voest Ashley Fisher	7–6 (7–3) , 0–6, [6–10]
