Week #	Theme	Song choice	Original artist	Order #	Result
Audition	Auditioner's Choice	" At Last "	Glenn Miller and his Orchestra	N/A	Advanced
Hollywood	First Solo Performance	" For Once in My Life "	Stevie Wonder	N/A	Advanced
Hollywood	Group Performance	" No One "	Alicia Keys	N/A	Advanced
Hollywood	Second Solo	" Chasing Pavements "	Adele	N/A	Advanced
Top 24 (12 Women)	Billboard Hot 100 Hits	" Feeling Good "	Cy Grant	12	Safe
Top 20 (10 Women)	Billboard Hot 100 Hits	" Put Your Records On "	Corinne Bailey Rae	4	Safe
Top 16 (8 Women)	Billboard Hot 100 Hits	" Breakaway "	Kelly Clarkson	1	Safe
Top 12	The Rolling Stones	" Wild Horses "	The Rolling Stones	6	Safe
Top 11	Billboard #1 Hits	" Big Girls Don't Cry "	Fergie	8	Bottom 3
Top 10	R&B / Soul	" Chain of Fools "	Aretha Franklin	7	Bottom 3
Top 9	Lennon–McCartney	" Let It Be "	The Beatles	2	Safe
