Pick #	Player	Nationality	Position	NHL team	Team from	League from
91	Jeremie Blain	Canada	D	Edmonton Oilers	Acadie-Bathurst Titan	Quebec Major Junior Hockey League
92	Sam Brittain	Canada	G	Florida Panthers (from Toronto) 1	Canmore Eagles	Alberta Junior Hockey League
93	Benjamin Gallacher	Canada	D	Florida Panthers	Camrose Kodiaks	Alberta Junior Hockey League
94	Brandon Archibald	United States	D	Columbus Blue Jackets	Sault Ste. Marie Greyhounds	Ontario Hockey League
95	Stephen Silas	Canada	D	Colorado Avalanche (from NY Islanders) 2	Belleville Bulls	Ontario Hockey League
96	Geoffrey Schemitsch	Canada	D	Tampa Bay Lightning	Owen Sound Attack	Ontario Hockey League
97	Craig Cunningham	Canada	LW	Boston Bruins (from Carolina) 3	Vancouver Giants	Western Hockey League
98	Steven Shipley	Canada	C	Buffalo Sabres (from Atlanta) 4	Owen Sound Attack	Ontario Hockey League
99	Joonas Donskoi	Finland	RW	Florida Panthers (from Minnesota) 5	Oulun Kärpät	SM-liiga (Finland)
100	Andrew Yogan	United States	C/LW	New York Rangers	Erie Otters	Ontario Hockey League
101	Ivan Telegin	Russia	LW	Atlanta Thrashers (from Dallas) 6	Saginaw Spirit	Ontario Hockey League
102	Mathieu Corbeil-Theriault	Canada	G	Columbus Blue Jackets (from Anaheim) 7	Halifax Mooseheads	Quebec Major Junior Hockey League
103	John Ramage	United States	D	Calgary Flames	Wisconsin Badgers	Western Collegiate Hockey Association
104	Jani Hakanpaa	Finland	D	St. Louis Blues	Kiekko-Vantaa	SM-Sarja (Finland)
105	Justin Shugg	Canada	LW	Carolina Hurricanes (from Boston via Anaheim) 8	Windsor Spitfires	Ontario Hockey League
106	Marcus Sorensen	Sweden	RW	Ottawa Senators	Södertälje SK	J20 SuperElit (Sweden)
107	Sami Aittokallio	Finland	G	Colorado Avalanche	Ilves	SM-liiga Jr. (Finland)
108	Bill Arnold	United States	C	Calgary Flames (from Nashville) 9	U.S. National U-18 Team	United States Hockey League
109	Alex Theriau	Canada	D	Dallas Stars (from Los Angeles via Colorado) 10	Everett Silvertips	Western Hockey League
110	Tom Kuhnhackl	Germany	RW	Pittsburgh Penguins	Landshut Cannibals	2nd Bundesliga (Germany)
111	Teemu Pulkkinen	Finland	LW	Detroit Red Wings	Jokerit	SM-liiga (Finland)
112	Philipp Grubauer	Germany	G	Washington Capitals (from Phoenix via Toronto) 11	Windsor Spitfires	Ontario Hockey League
113	Mark Macmillan	Canada	F	Montreal Canadiens (from Buffalo via Phoenix) 12	Alberni Valley Bulldogs	British Columbia Hockey League
114	Joe Faust	United States	D	New Jersey Devils	Bloomington Jefferson High School	United States High School-MN
115	Patrick McNally	United States	D	Vancouver Canucks	Milton Academy	United States High School-MA
116	Petter Granberg	Sweden	D	Toronto Maple Leafs (from Washington) 13	Skellefteå AIK	J20 SuperElit (Sweden)
117	Morgan Ellis	Canada	D	Montreal Canadiens	Cape Breton Screaming Eagles	Quebec Major Junior Hockey League
118	James Mullin	United States	C/RW	Tampa Bay Lightning (from San Jose) 14	Shattuck-Saint Mary's	Midget Major AAA
119	Tye McGinn	Canada	LW	Philadelphia Flyers	Gatineau Olympiques	Quebec Major Junior Hockey League
120	Rob Flick	Canada	C	Chicago Blackhawks	Mississauga St. Michaels Majors	Ontario Hockey League
