Season	Skip	Third	Second	Lead
1989-90	Jan Henri Ducroz	Spencer Mugnier	Sylvain Ducroz	Thomas Dufour
1990-91	Jan Henri Ducroz	Spencer Mugnier	Sylvain Ducroz	Thomas Dufour
1991-92	Jan Henri Ducroz	Spencer Mugnier	Sylvain Ducroz	Thomas Dufour
1992-93	Spencer Mugnier	Thomas Dufour	Sylvain Ducroz	Philippe Caux
1993-94	Spencer Mugnier	Thomas Dufour	Sylvain Ducroz	Philippe Caux
1995-96	Jan Henri Ducroz	Spencer Mugnier	Daniel Cosetto	Thomas Dufour
2004-05	Thomas Dufour	Lionel Roux	Philippe Caux	Tony Angiboust
2005-06	Thomas Dufour	Philippe Caux	Tony Angiboust	Julien Charlet
2006-07	Thomas Dufour	Tony Angiboust	Jan Henri Ducroz	Richard Ducroz
2007-09	Thomas Dufour	Tony Angiboust	Jan Henri Ducroz	Richard Ducroz
2008-09	Thomas Dufour	Tony Angiboust	Richard Ducroz (Lead for most of the season)	Jan Henri Ducroz (Second for most of the season)
2009-10	Thomas Dufour	Tony Angiboust	Jan Henri Ducroz	Richard Ducroz
2010-11	Thomas Dufour	Tony Angiboust (fourth)	Lionel Roux	Wilfrid Coulot
