School	Location	Mascot	Enrollment	IHSAA Class	# / County
Angola Community	Angola	Hornets	963	AAA	76 Steuben
Central Noble	Albion	Cougars	416	AA	57 Noble
Churubusco	Churubusco	Eagles	427	AA	92 Whitley
Eastside	Butler	Blazer	467	AA	17 DeKalb
Fairfield	Goshen	Falcons	590	AAA	20 Elkhart
Fremont	Fremont	Eagles	375	AA	76 Steuben
Hamilton Community	Hamilton	Marines	164	A	76 Steuben
LaGrange Lakeland	LaGrange	Lakers	671	AAA	44 LaGrange
Prairie Heights	LaGrange	Panthers	505	AA	44 LaGrange
West Noble	Ligonier	Chargers	739	AAA	57 Noble
Westview	Topeka	Warriors	397	AA	44 LaGrange
