Television Network	Founded	% of Venezuelan households reached	# of households viewable	Type of network	# of Full-Power Affiliates	# of Low-Power/Class-A Affiliates & Transmitters
Major national networks	Major national networks	Major national networks	Major national networks	Major national networks	Major national networks	Major national networks
Television Network	Founded	% of Venezuelan households reached	# of households viewable	Type of network	# of Full-Power Affiliates	# of Low-Power/Class-A Affiliates & Transmitters
Venevisión	1961	N/A	N/A	Commercial	33	N/A
VTV	1964	N/A	N/A	Political, National	45	N/A
TVes	2007	N/A	N/A	Cultural, Social Service TV	N/A	N/A
Televen	1988	N/A	N/A	Commercial	27	N/A
ViVe	2003	N/A	N/A	Educational	N/A	N/A
Globovisión	1994	N/A	N/A	News, Commercial	7	N/A
Vale TV	1998	N/A	N/A	educational	27	N/A
Meridiano Televisión	1996	N/A	N/A	Commercial, sports	16	N/A
TeleSUR	2005	N/A	N/A	Political, News	4	N/A
RCTV	1953	N/A	N/A	Commercial, cable/satellite-only network	N/A	N/A
Regional networks	Regional networks	Regional networks	Regional networks	Regional networks	Regional networks	Regional networks
Canal i (previously PumaTV)	1995	N/A	N/A	Commercial/news, regional	N/A	N/A
La Tele	2002	N/A	N/A	Commercial, regional	14	N/A
Amavisión	1983	N/A	N/A	Commercial, regional	N/A	N/A
Televisora de Oriente	1992	N/A	N/A	Commercial, regional	8	N/A
TVS	1994	N/A	N/A	Commercial, regional	N/A	N/A
TRV (Orbivisión)	N/A	N/A	N/A	Commercial, regional	N/A	N/A
TIC TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Color TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Novavisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Aragua TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Telellano	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Rumbera TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Llanovisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Bolívar Visión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
TV Guayana	N/A	N/A	N/A	Commercial, regional	N/A	N/A
NTV Televisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
DAT TV	2001	N/A	N/A	Commercial, regional	N/A	N/A
Niños Cantores Televisión	1987	N/A	N/A	Commercial, regional	N/A	N/A
Avila TV	2006	N/A	N/A	Commercial, regional	N/A	N/A
LaSimón TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
UCV TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Flamingo Televisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Sol TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
TV Llano	1995	N/A	N/A	Commercial, regional	N/A	N/A
Promar TV	1995	N/A	N/A	Commercial, regional	N/A	N/A
Somos TV	2005	N/A	N/A	Commercial, regional	N/A	N/A
V+TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Telecentro	1990	N/A	N/A	Commercial, regional	6	N/A
Televisora Andina de Mérida	1982	N/A	N/A	Commercial, regional	N/A	N/A
OMC Televisión	1998	N/A	N/A	Commercial, regional	N/A	N/A
ULA TV	1999	N/A	N/A	Commercial, regional	N/A	N/A
AR Visión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Telemir	2005	N/A	N/A	Commercial, regional	N/A	N/A
Sol Televisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Tele Éxito	N/A	N/A	N/A	Commercial, regional	11	N/A
Telecaribe	1989	N/A	N/A	Commercial, regional	20	N/A
Portuguesa TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Universal Televisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Regional Acarigua	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Televisra Regional de Portuguesa	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Prisma Televisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Telesol	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Olímpica Televisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Televisora Regional del Táchira	1989	N/A	N/A	Commercial, regional	N/A	N/A
Canal 21 (Táchira)	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Buena TV	2006	N/A	N/A	Commercial, regional	N/A	N/A
Total TV (TTV)	N/A	N/A	N/A	Commercial, regional	N/A	N/A
TeleBoconó	1979	N/A	N/A	Commercial, regional	N/A	N/A
Tele Yaracuy	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Yaracuyana TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Televiza	1994	N/A	N/A	Commercial, regional	4	N/A
Zuliana de Televisión	1991	N/A	N/A	Commercial, regional	3	N/A
Global TV	1999	N/A	N/A	Commercial, regional	N/A	N/A
