Pick #	Player	Position	Nationality	NHL team	College/junior/club team
223	Dave Goertz	Defence	Canada	Pittsburgh Penguins	Regina Pats (WHL)
224	Darcy Kaminski	Defence	Canada	Hartford Whalers	Lethbridge Broncos (WHL)
225	Alexei Kasatonov	Defence	Soviet Union	New Jersey Devils	Moscow CSKA (USSR)
226	Chuck Chiatto	Centre	United States	Detroit Red Wings	Cranbrook High School (USHS-MI
227	Chad Johnson	Centre	United States	Los Angeles Kings	Roseau High School (USHS-MN)
228	Ron Choules	Left Wing	Canada	Toronto Maple Leafs	Trois-Rivieres Draveurs (QMJHL)
229	Jamie Husgen	Defence	United States	Winnipeg Jets	Des Moines Buccaneers (USHL)
230	Jay Mazur	Right Wing	Canada	Vancouver Canucks	Breck School (USHS-MN)
231	Sergei Makarov	Right Wing	Soviet Union	Calgary Flames	Moscow CSKA (USSR)
232	Bo Berglund	Right Wing	Sweden	Quebec Nordiques	Djurgardens IF (Sweden)
233	Ulf Nilsson	Goaltender	Sweden	New York Rangers	Skelleftea (Sweden)
234	Marc Hamelin	Goaltender	Canada	Buffalo Sabres	Shawinigan Cataractes (QMJHL)
235	Kermit Salfi	Left Wing	United States	Buffalo Sabres	Northwood School (USHS-NY)
236	Paul Roff	Right Wing	United States	Minnesota North Stars	Edina High School (USHS-MN)
237	Peter McGeough	Defence	United States	New York Islanders	Bishop Hendricken High School (USHS-RI)
238	Jean-Guy Bergeron	Defence	Canada	Montreal Canadiens	Shawinigan Cataractes (QMJHL)
239	Jindrich Kokrment	Centre	Czechoslovakia	Quebec Nordiques	Litvinov (Czechoslovakia)
240	Steven Woodburn	Defence	Canada	Edmonton Oilers	Verdun Juniors (QMJHL)
241	Harold Duvall	Left Wing	United States	Philadelphia Flyers	Belmont Hill School (USHS-MA)
242	Greg Murphy	Defence	United States	Boston Bruins	Trinity-Pawling High School (USHS-NY)
