County	Per capita income	Median household income	Median family income	Population	Number of households
Union	$33,783	$59,889	$71,308	14,399	5,756
Lincoln	$33,261	$67,365	$75,231	44,828	16,649
Hughes	$28,236	$53,501	$70,881	17,022	7,066
Stanley	$27,435	$51,875	$54,722	2,966	1,228
United States	$27,334	$51,914	$62,982	308,745,538	116,716,292
Sully	$26,596	$48,958	$58,875	1,373	610
Minnehaha	$26,392	$51,799	$64,645	169,468	67,028
Pennington	$25,894	$46,849	$57,278	100,948	41,251
Haakon	$25,877	$46,281	$60,000	1,937	850
Perkins	$25,780	$33,361	$55,313	2,982	1,291
Marshall	$25,502	$42,022	$57,287	4,656	1,815
Lawrence	$25,465	$42,356	$60,209	24,097	10,536
Miner	$25,450	$43,958	$54,650	2,389	1,032
Spink	$25,295	$45,000	$60,639	6,415	2,608
Moody	$24,948	$52,354	$61,667	6,486	2,554
Jerauld	$24,942	$40,607	$44,717	2,071	870
Codington	$24,781	$43,275	$60,202	27,227	11,432
Yankton	$24,776	$47,124	$62,070	22,438	8,770
Kingsbury	$24,660	$44,948	$56,925	5,148	2,222
Jones	$24,630	$49,464	$56,589	1,006	458
Custer	$24,353	$46,743	$58,253	8,216	3,636
Edmunds	$24,268	$47,026	$56,599	4,071	1,607
South Dakota	$24,110	$46,369	$58,958	814,180	322,282
Potter	$23,986	$42,422	$53,214	2,329	1,062
Clark	$23,909	$43,894	$55,575	3,691	1,445
Brown	$23,878	$45,615	$58,683	36,531	15,489
Walworth	$23,716	$39,517	$51,250	5,438	2,392
Beadle	$23,409	$40,716	$56,288	17,398	7,276
Hand	$23,238	$45,895	$52,407	3,431	1,494
Hyde	$22,995	$41,196	$61,161	1,420	600
Grant	$22,887	$42,625	$56,250	7,356	3,089
Turner	$22,871	$48,068	$57,881	8,347	3,452
Davison	$22,794	$41,867	$54,677	19,504	8,296
Lake	$22,447	$45,606	$57,753	11,200	4,483
McPherson	$22,441	$41,023	$56,544	2,459	1,025
Campbell	$22,338	$42,833	$48,864	1,466	694
Deuel	$22,276	$47,000	$55,439	4,364	1,819
Douglas	$22,200	$42,794	$53,750	3,002	1,210
Meade	$22,045	$46,180	$54,200	25,434	9,903
Harding	$22,004	$34,792	$46,111	1,255	539
Hutchinson	$21,944	$39,310	$52,390	7,343	2,930
Faulk	$21,898	$38,203	$55,234	2,364	869
Fall River	$21,574	$35,833	$53,750	7,094	3,272
Hamlin	$21,558	$44,439	$54,483	5,903	2,108
Hanson	$21,391	$46,556	$52,425	3,331	1,045
Gregory	$21,311	$33,940	$44,333	4,271	1,936
Aurora	$21,291	$45,230	$55,588	2,710	1,102
Tripp	$21,192	$40,221	$49,570	5,644	2,419
Sanborn	$21,055	$44,732	$56,304	2,355	975
Brookings	$20,995	$45,134	$63,338	31,965	12,029
Day	$20,542	$36,818	$47,949	5,710	2,504
Butte	$20,418	$39,041	$52,829	10,110	4,160
Bon Homme	$19,825	$37,708	$46,146	10,149	3,823
Roberts	$19,825	$37,708	$46,146	10,149	3,823
Brule	$19,779	$48,277	$58,363	5,255	2,136
Clay	$19,518	$37,198	$61,159	13,864	5,110
McCook	$19,255	$31,923	$47,500	5,618	2,168
Charles Mix	$17,403	$35,808	$46,962	9,129	3,249
Mellette	$16,971	$34,055	$35,781	2,048	693
Lyman	$16,930	$36,323	$45,045	3,755	1,392
Bennett	$16,153	$32,841	$38,487	3,431	1,090
Dewey	$15,632	$33,255	$40,500	5,301	1,730
Jackson	$14,568	$36,354	$41,838	3,031	996
Corson	$13,359	$30,877	$36,500	4,050	1,260
Buffalo	$11,410	$27,926	$28,333	1,912	532
Ziebach	$11,069	$27,578	$22,857	2,801	836
Todd	$11,010	$25,196	$29,010	9,612	2,780
Shannon	$7,772	$24,392	$25,224	13,586	3,144
