Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner-up	12 September 2005	Matamoros , Mexico	Hard	Ana Cetnik	Daniela Munoz Gallegos Paula Zabala	4-6, 4-6
Runner-up	25 June 2006	Fort Worth , United States	Hard	Maria Victoria Domina	Christina Fusano Nicole Kriz	6-2, 4-6, 1-6
Winner	23 July 2006	Hamilton , Canada	Clay	Nicole Kriz	Soledad Esperón Aleksandra Wozniak	6–4 6–1
Winner	6 August 2006	Vancouver , Canada	Hard	Nicole Kriz	Jennifer Magley Courtney Nagle	7–5 6–3
Winner	04 September 2006	Caracas , Venezuela	Hard	Jodi Kenoyer	Karen Castiblanco Mariana Muci Torres	6-1 6-1
Runner-up	20 Mar 2007	Coatzacoalcos , Mexico	Hard	Liga Dekmeijere	Chanelle Scheepers Robin Stephenson	2-6, 2-6
Runner-up	11 June 2007	Campobasso , Italy	Clay	Christina Wheeler	Maria Jose Argeri Leticia Sobral	5-7, 3-6
Winner	26 May 2008	Carson , United States	Hard	Romana Tedjakusuma	Kimberly Couts Anna Tatishvili	7-6 (12) 4-6 10-7
Winner	23 June 2008	Getxo , Spain	Clay	Julie Coin	Estrella Cabeza Candela Sara Del Barrio Aragon	6-3 6-1
Winner	12 July 2008	Valladolid , Spain	Hard	Heidi El Tabakh	Stefania Boffa Anna Fitzpatrick	6–2, 6–4
Runner-up	19 January 2009	Lutz , United States	Clay	Mashona Washington	Kimberly Couts Sharon Fichman	4-6, 5-7
Winner	13 April 2009	Osprey, Florida , United States	Clay	Lindsay Lee-Waters	Heidi El Tabakh Melanie Klaffner	6-3 6-7 (5) 12-10
Runner-up	15 June 2009	Montpellier , France	Hard	Stefania Boffa	Yuliya Beygelzimer Laura Siegemund	4–6, 1–6
Runner-up	19 July 2010	Lexington , United States	Hard	Jacqueline Cako	Bojana Bobusic Christina Fusano	4–6, 2–6
Winner	27 September 2010	Amelia Island , United States	Clay	Elizabeth Lumpkin	Alexandra Haney Kendal Woodard	7-5 6-4
