Tournament	Winner	Runner-up	Score	Third Place
Dublin	John McEnroe	Henri Leconte	6–4, 6–3	Pat Cash
Naples, Florida	John McEnroe	Henri Leconte	6–0, 0–1 retired	None
Doha	Björn Borg	Mats Wilander	3–6, 6–3, [10–8]	John McEnroe
Majorca	Anders Järryd	Mats Wilander	6–1, 6–1	Pat Cash
Richmond, Virginia	John McEnroe	Andrés Gómez	6–1, 6–2	None
Raleigh, North Carolina	John McEnroe	Mats Wilander	6–1, 6–4	None
New York	Mikael Pernfors	Henri Leconte	6–2, 6–2	None
San Diego, California	Pat Cash	John McEnroe	6–3, 7–5	Andrés Gómez
Aland	Björn Borg	Anders Järryd	6–3, 5–7, [11–9]	Veli Paloheimo
Chicago,IL	John McEnroe	Mats Wilander	6–2, 6–4	None
Paris	Guy Forget	Pat Cash	7–6,6–2	John McEnroe
Palo Alto, California	John McEnroe	José Luis Clerc	6–2, 6–3	None
Geneva	John McEnroe	Guy Forget	7–6, 6–2	Yannick Noah
Singapore	John McEnroe	Mansour Bahrami	6–2, 6–2	None
Hong Kong	John McEnroe	Mats Wilander	6–1, 6–3	Mikael Pernfors
Frankfurt	John McEnroe	Henri Leconte	6–1, 6–3	Mikael Pernfors
London	Pat Cash	John McEnroe	6–7, 7–5, [14–12]	None
