Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Rod Belfitt	FW	6	2	0	0	0	0	6	2
Les Chapman	MF	15	1	1	0	4	0	20	1
Terry Dolan	MF	46	4	1	0	4	0	51	4
John Dungworth	FW	4	0	0	0	0	0	4	0
Roy Ellam	DF	18	2	1	0	2	0	21	2
Barry Endean	MF	6 (2)	1	0	0	0	0	6 (2)	1
Mick Fairclough	FW	3 (1)	0	0	0	0	0	3 (1)	0
Franny Firth	FW	1	0	0	0	0	0	1	0
Martin Fowler	MF	14 (2)	1	0	0	0	0	14 (2)	1
Paul Garner	DF	35	2	0	0	4	0	39	2
Colin Garwood	FW	10 (6)	2	0	0	0	0	10 (6)	2
Alan Gowling	FW	41	17	1	0	4	2	46	19
Terry Gray	FW	24 (8)	3	1	0	0 (2)	0	25 (10)	3
Peter Hart	MF	13	0	0	0	0	0	13	0
Bobby Hoy	MF	23 (1)	3	1	0	4	0	28 (1)	3
Geoff Hutt	DF	28	0	1	0	3	0	32	0
Jimmy Lawson	MF	17 (3)	3	0	0	0	0	17 (3)	3
Ally MacLeod	FW	3 (1)	1	0	0	0	0	3 (1)	1
Lloyd Maitland	MF	12	1	0	0	0	0	12	1
Brian Marshall	DF	3	0	0	0	0	0	3	0
Grahame McGifford	DF	22	0	1	0	1	0	24	0
Billy McGinley	FW	11 (4)	1	0	0	2 (1)	1	13 (5)	2
Bob Newton	FW	2 (1)	0	0	0	0	0	2 (1)	0
Brian O'Neil	MF	22 (1)	2	0	0	0	0	22 (1)	2
Terry Poole	GK	24	0	0	0	4	0	28	0
Graham Pugh	MF	15	0	1	0	3	0	19	0
John Saunders	DF	41	0	1	0	4	1	46	1
Steve Smith	MF	16	0	0	0	2	0	18	0
Steve Spriggs	MF	2 (2)	0	0	0	1	0	3 (2)	0
Phil Summerill	FW	6 (2)	1	0	0	2	1	8 (2)	2
Alan Sweeney	DF	1	0	0	0	0	0	1	0
Dick Taylor	GK	21	0	1	0	0	0	22	0
John Turner	GK	1	0	0	0	0	0	1	0
