Reign	Days held	Location	Successful defenses	Event
1	106	Brandon, Florida	1	The Usual Suspects
1	27	Bushnell, Florida	1	Heatstroke 2005: Night Two
1	267	Arcadia, Florida	13	Big Year One Bash: Night One
1	105	Crystal River, Florida	4	Bloodbath
2	35	Arcadia, Florida	0	Second Year Spectacular: Night Two
1	391	Brandon, Florida	6	Southern Justice
1	407	Crystal River, Florida	5	Unstoppable 2007
1	287	Crystal River, Florida	2	Unstoppable 2008
1	301	Crystal River, Florida	2	Fallout 2009
1	454	Crystal River, Florida	3	Cage of Pain III
1	462	Brooksville, Florida	0	Jeff Peterson Memorial Cup 2011 Night 1
1	154	Tampa, Florida	2	Everything Burns
1	211+	Ybor City, Florida	0	Declaration of Independence
