Year	Round	Pick	Overall	Player name	Position	AFL team
1961	12	2	90	Wayne Harris Category:Articles with hCards	C	Boston Patriots
1961	17	6	134	Jarrell Williams Category:Articles with hCards	HB	Dallas Texans
1962	2	1	9	Lance Alworth Category:Articles with hCards ‡	WR	Oakland Raiders
1962	29	8	232	Paul Dudley Category:Articles with hCards	HB	San Diego Chargers
1962	31	4	244	Jim Collier Category:Articles with hCards	TE	Buffalo Bills
1963	1	6	6	Danny Brabham Category:Articles with hCards	LB	Houston Oilers
1963	13	4	100	Dave Adams Category:Articles with hCards	G	Boston Patriots
1963	23	8	184	Dave Adams Category:Articles with hCards	G	Kansas City Chiefs
1963	27	7	215	Dave Adams Category:Articles with hCards	G	Boston Patriots
1963	16	6	126	Wes Bryant Category:Articles with hCards	T	Boston Patriots
1963	23	5	181	Billy Moody Category:Articles with hCards	HB	Denver Broncos
1963	25	2	194	Jerry Mazzanti Category:Articles with hCards	DE	San Diego Chargers
1963	27	8	216	Bill Clay Category:Articles with hCards	E	Kansas City Chiefs
1964	19	2	146	Jerry Lamb Category:Articles with hCards	E	Kansas City Chiefs
1964	26	7	207	Gordon Quest Category:Articles with hCards	QB	Oakland Raiders
1965	2	8	16	Ronnie Caveness Category:Articles with hCards	LB	Kansas City Chiefs
1966	2	8	17	Jim Lindsey Category:Articles with hCards	RB	Buffalo Bills
1966	4	8	33	Bobby Burnett Category:Articles with hCards *	RB	Buffalo Bills
1966	17	1	146	Mike Bender Category:Articles with hCards	G	Miami Dolphins
1966	10	9	91	Bobby Crockett Category:Articles with hCards	WR	Buffalo Bills
