Title	Series	Director	Production Number	Release date
Fastest with the Mostest	LT	Chuck Jones	1536	1960-01-09
West of the Pesos	MM	Robert McKimson	1534	1960-01-23
Horse Hare	LT	Friz Freleng	1539	1960-02-13
Wild Wild World	MM	Robert McKimson	1528	1960-02-27
Goldimouse and the Three Cats	LT	Friz Freleng	1535	1960-03-19
Person to Bunny	MM	Friz Freleng	1523	1960-04-02
Who Scent You?	LT	Chuck Jones	1492	1960-04-23
Hyde and Go Tweet	MM	Friz Freleng	1526	1960-05-14
Rabbit's Feat	LT	Chuck Jones	1532	1960-06-04
Crockett-Doodle-Do	MM	Robert McKimson	1531	1960-06-25
Mouse and Garden	LT	Friz Freleng	1538	1960-07-16
Ready, Woolen and Able	MM	Chuck Jones	1519	1960-07-30
Mice Follies	LT	Robert McKimson	1542	1960-08-20
From Hare to Heir	MM	Friz Freleng	1548	1960-09-03
The Dixie Fryer	MM	Robert McKimson	1540	1960-09-24
Hopalong Casualty	LT	Chuck Jones	1545	1960-10-08
Trip For Tat	MM	Friz Freleng	1541	1960-10-29
Dog Gone People	MM	Robert McKimson	1547	1960-11-12
High Note	LT	Chuck Jones	1480	1960-12-03
Lighter Than Hare	MM	Friz Freleng	1533	1960-12-17
