Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race time	Average speed (mph)	Report
1970	April 12	Pete Hamilton	Petty Enterprises	Plymouth	188	500.08 (804.8)	3:16:59	152.321	Report
1971	May 16	Donnie Allison	Wood Brothers Racing	Mercury	188	500.08 (804.8)	3:23:32	147.419	Report
1972	May 7	David Pearson	Wood Brothers Racing	Mercury	188	500.08 (804.8)	3:43:15	134.4	Report
1973	May 6	David Pearson	Wood Brothers Racing	Mercury	188	500.08 (804.8)	3:47:23	131.956	Report
1974	May 5	David Pearson	Wood Brothers Racing	Mercury	170*	452.2 (727.745)	3:28:09	130.22	Report
1975	May 4	Buddy Baker	Bud Moore Engineering	Ford	188	500.08 (804.8)	3:26:59	144.948	Report
1976	May 2	Buddy Baker	Bud Moore Engineering	Ford	188	500.08 (804.8)	2:56:37	169.887	Report
1977	May 1	Darrell Waltrip	DiGard Motorsports	Chevrolet	188	500.08 (804.8)	3:01:59	164.877	Report
1978	May 14	Cale Yarborough	Junior Johnson & Associates	Oldsmobile	188	500.08 (804.8)	3:07:53	155.699	Report
1979	May 6	Bobby Allison	Bud Moore Engineering	Ford	188	500.08 (804.8)	3:13:52	154.77	Report
1980	May 4	Buddy Baker	Ranier-Lundy	Oldsmobile	188	500.08 (804.8)	2:56:00	170.481	Report
1981	May 3	Bobby Allison	Ranier-Lundy	Buick	188	500.08 (804.8)	3:20:52	149.376	Report
1982	May 2	Darrell Waltrip	Junior Johnson & Associates	Buick	188	500.08 (804.8)	3:11:19	156.597	Report
1983	May 1	Richard Petty	Petty Enterprises	Pontiac	188	500.08 (804.8)	3:14:55	153.936	Report
1984	May 6	Cale Yarborough	Ranier-Lundy	Chevrolet	188	500.08 (804.8)	2:53:27	172.988	Report
1985	May 5	Bill Elliott	Melling Racing	Ford	188	500.08 (804.8)	2:41:04	186.288	Report
1986	May 4	Bobby Allison	Stavola Brothers Racing	Buick	188	500.08 (804.8)	3:10:16	157.698	Report
1987	May 3	Davey Allison	Ranier-Lundy	Ford	178*	473.48 (761.992)	3:04:12	154.228	Report
1988	May 1	Phil Parsons	Leo Jackson Racing	Oldsmobile	188	500.08 (804.8)	3:11:40	156.547	Report
1989	May 7	Davey Allison	Robert Yates Racing	Ford	188	500.08 (804.8)	3:12:30	155.869	Report
1990	May 6	Dale Earnhardt	Richard Childress Racing	Chevrolet	188	500.08 (804.8)	3:08:02	159.571	Report
1991	May 6*	Harry Gant	Leo Jackson Racing	Oldsmobile	188	500.08 (804.8)	3:01:10	165.62	Report
1992	May 3	Davey Allison	Robert Yates Racing	Ford	188	500.08 (804.8)	2:59:01	167.609	Report
1993	May 2	Ernie Irvan	Morgan-McClure Motorsports	Chevrolet	188	500.08 (804.8)	3:13:04	155.412	Report
1994	May 1	Dale Earnhardt	Richard Childress Racing	Chevrolet	188	500.08 (804.8)	3:10:32	157.478	Report
1995	April 30	Mark Martin	Roush Racing	Ford	188	500.08 (804.8)	2:47:43	178.902	Report
1996	April 28	Sterling Marlin	Morgan-McClure Motorsports	Chevrolet	188	500.08 (804.8)	3:20:02	149.999	Report
1997	May 10*	Mark Martin	Roush Racing	Ford	188	500.08 (804.8)	2:39:18	188.354	Report
1998	April 26	Bobby Labonte	Joe Gibbs Racing	Pontiac	188	500.08 (804.8)	3:30:40	144.428	Report
1999	April 25	Dale Earnhardt	Richard Childress Racing	Chevrolet	188	500.08 (804.8)	3:03:38	163.395	Report
2000	April 16	Jeff Gordon	Hendrick Motorsports	Chevrolet	188	500.08 (804.8)	3:06:11	161.157	Report
2001 *	April 22	Bobby Hamilton	Andy Petree Racing	Chevrolet	188	500.08 (804.8)	2:43:04	184.003	Report
2002	April 21	Dale Earnhardt, Jr.	Dale Earnhardt, Inc.	Chevrolet	188	500.08 (804.8)	3:08:41	159.022	Report
2003	April 6	Dale Earnhardt, Jr.	Dale Earnhardt, Inc.	Chevrolet	188	500.08 (804.8)	3:27:28	144.625	Report
2004	April 25	Jeff Gordon	Hendrick Motorsports	Chevrolet	188	500.08 (804.8)	3:51:53	129.396	Report
2005	May 1	Jeff Gordon	Hendrick Motorsports	Chevrolet	194*	516.04 (830.485)	3:30:46	146.904	Report
2006	May 1*	Jimmie Johnson	Hendrick Motorsports	Chevrolet	188	500.08 (804.8)	3:29:59	142.891	Report
2007	April 29	Jeff Gordon	Hendrick Motorsports	Chevrolet	192*	510.72 (821.924)	3:18:46	154.167	Report
2008	April 27	Kyle Busch	Joe Gibbs Racing	Toyota	188	500.08 (804.8)	3:10:37	157.409	Report
2009	April 26	Brad Keselowski	Phoenix Racing	Chevrolet	188	500.08 (804.8)	3:23:20	147.565	Report
2010 *	April 25	Kevin Harvick	Richard Childress Racing	Chevrolet	200*	532 (856.171)	3:31:58	150.59	Report
2011 *	April 17	Jimmie Johnson	Hendrick Motorsports	Chevrolet	188	500.08 (804.8)	3:12:01	156.261	Report
2012	May 6	Brad Keselowski	Penske Racing	Dodge	194*	516.04 (830.485)	3:13:17	160.192	Report
