Season	League	Teams	Home	Away
1997-98	Regionalliga Süd (III)	FC Bayern Munich II - TSV 1860 Munich II	2-2	1-3
1998-99	Regionalliga Süd	FC Bayern Munich II - TSV 1860 Munich II	3-1	1-0
1999–2000	Regionalliga Süd	FC Bayern Munich II - TSV 1860 Munich II	1-3	3-4
2000-01	Regionalliga Süd	FC Bayern Munich II - TSV 1860 Munich II	0-0	3-0
2004-05	Regionalliga Süd	FC Bayern Munich II - TSV 1860 Munich II	4-2	1-1
2005-06	Regionalliga Süd	FC Bayern Munich II - TSV 1860 Munich II	1-0	2-2
2006-07	Regionalliga Süd	FC Bayern Munich II - TSV 1860 Munich II	1-1	1-1
2007-08	Regionalliga Süd	FC Bayern Munich II - TSV 1860 Munich II	1-0	2-3
2011-12	Regionalliga Süd (IV)	FC Bayern Munich II - TSV 1860 Munich II	1-2	1-0
2012-13	Regionalliga Bayern (IV)	FC Bayern Munich II - TSV 1860 Munich II	0:1	2-0
