Season	Level	Position	Nationality	Apps	Goals
1973–74	3	Defender	England	54	3
1974–75	2	Defender	England	45	2
1975–76	2	Midfielder	England	38	8
1976–77	3	Midfielder	England	52	13
1977–78	4	Striker	England	50	13
1978–79	4	Striker	England	52	19
1979–80	4	Midfielder	England	51	9
1980–81	4	Goalkeeper	England	51	0
1981–82	4	Striker	Saint Kitts and Nevis	49	25
1982–83	4	Midfielder	England	52	9
1983–84	4	Defender	Scotland	52	10
1984–85	3	Defender	Scotland	55	9
1985–86	3	Midfielder	England	46	1
1986–87	3	Striker	Saint Kitts and Nevis	52	25
1987–88	3	Striker	England	43	18
1988–89	4	Striker	England	47	11
1989–90	4	Goalkeeper	England	53	0
1990–91	4	Defender	England	50	0
1991–92	4	Midfielder	Northern Ireland	49	9
1992–93	4	Defender	England	48	1
1993–94	3	Striker	England	49	25
1994–95	3	Midfielder	Northern Ireland	50	10
1995–96	3	Defender	South Africa	57	1
1996–97	3	Defender	England	57	1
1997–98	3	Midfielder	England	47	5
1998–99	3	Defender	England	51	2
1999–2000	4	Defender	England	40	1
2000–01	4	Goalkeeper	Northern Ireland	51	0
2001–02	4	Goalkeeper	Northern Ireland	52	0
2002–03	4	Defender	England	44	1
2003–04	4	Midfielder	England	45	4
2004–05	5	Defender	England	44	2
2005–06	5	Striker	England	45	18
2006–07	5	Midfielder	England	49	3
2007–08	5	Defender	England	56	1
2008–09	5	Defender	Wales	57	0
2009–10	5	Goalkeeper	Northern Ireland	55	0
2010–11	5	Defender	Wales	47	1
2011–12	5	Midfielder	England	42	1
2012–13	4	Defender	Wales	50	1
