Constituency	Electorate	Votes	Turnout	Yes	No	Spoilt	Percent Yes
Cork City	53019	38850	73.3	20765	15392	2693	57.4
Dublin North–East	50323	36579	72.7	18651	16496	1432	53.1
Dublin North–West	69174	47638	68.9	26095	19210	2333	57.6
Dublin South	82659	57560	69.6	32669	21504	3387	60.3
Dublin Townships	52664	37690	71.6	14810	21336	1544	41
Athlone–Longford	38295	29849	77.9	15648	11367	2834	57.9
Carlow–Kildare	48536	36793	75.8	18745	14407	3641	56.5
Cavan	47008	37824	80.5	17412	16508	3904	51.3
Clare	62551	49731	79.5	29279	16454	3998	64
Cork North	47822	39372	82.3	17458	16350	5564	51.6
Cork South–East	41669	32061	76.9	13764	12733	5564	51.9
Cork West	67017	53866	80.4	19741	24668	9457	44.5
Donegal East	48975	36908	75.4	18680	13041	5187	58.9
Donegal West	38532	27639	71.7	14160	11086	2393	56.1
Dublin County	83457	58855	70.5	26901	28840	3114	48.3
Galway East	49476	34642	70.0	21273	10049	3320	67.9
Galway West	42796	26141	61.1	17836	6234	2071	74.1
Kerry North	48621	35533	73.1	21292	10857	3384	66.2
Kerry South	35390	26325	74.4	13658	9573	3094	58.8
Kilkenny	40900	33589	82.1	16926	13746	2917	55.2
Leitrim	36368	27551	75.8	12583	8429	6539	59.9
Leix–Offaly	60945	48344	79.3	25654	17717	4973	59.2
Limerick	81397	66078	81.2	35187	21954	8937	61.6
Louth	38570	30311	78.6	16326	11688	2297	58.3
Mayo North	38170	25934	67.9	15900	8247	1787	65.8
Mayo South	59999	42205	70.3	22225	15734	4246	58.6
Meath–Westmeath	61654	49094	79.6	27586	18704	2804	59.6
Monaghan	36469	31511	86.4	16189	12107	3215	57.2
Roscommon	42103	32170	76.4	15481	12910	3779	54.5
Sligo	36516	28475	78.0	10780	11916	5779	47.5
Tipperary	82727	67656	81.8	34776	28041	4839	55.4
Waterford	51596	41192	79.8	22118	16578	2496	57.2
Wexford	61486	48366	78.7	23129	20391	4846	53.1
