Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 3	Oakland Raiders	W 14–6	Mile High Stadium	1–0	75092
2	September 11	at Minnesota Vikings	L 9–12 (OT)	Metropolitan Stadium	1–1	46508
3	September 17	San Diego Chargers	W 27–14	Mile High Stadium	2–1	74983
4	September 24	at Kansas City Chiefs	W 23–17 (OT)	Arrowhead Stadium	3–1	60593
5	October 1	Seattle Seahawks	W 28–7	Mile High Stadium	4–1	74989
6	October 8	at San Diego Chargers	L 0–23	San Diego Stadium	4–2	50077
7	October 16	Chicago Bears	W 16–7	Mile High Stadium	5–2	75008
8	October 22	at Baltimore Colts	L 6–7	Memorial Stadium	5–3	54057
9	October 29	at Seattle Seahawks	W 20–17 (OT)	Kingdome	6–3	62948
10	November 5	New York Jets	L 28–31	Mile High Stadium	6–4	74983
11	November 12	at Cleveland Browns	W 19–7	Cleveland Stadium	7–4	70856
12	November 19	Green Bay Packers	W 16–3	Mile High Stadium	8–4	74965
13	November 23	at Detroit Lions	L 14–17	Pontiac Silverdome	8–5	71785
14	December 3	at Oakland Raiders	W 21–6	Oakland-Alameda County Coliseum	9–5	53932
15	December 10	Kansas City Chiefs	W 24–3	Mile High Stadium	10–5	74149
