Venue	Home	Guest	Score	Attendance
Stadion na Koniku	FK Ribnica	FK Mladost	0:1	500
Stadion u Bijeloj	OFK Bijela	FK Budućnost	0:4	1.000
Gradski stadion	FK Berane	FK Ibar	3:3 (pen: 4:2)	3.000
Stadion Zabjela	FK Zabjelo	OFK Grbalj	1:2	300
Stadion Olimpik	FK Otrant	FK Mogren	1:1 (pen: 4:3)	1.200
Stadion pod Vrmcem	FK Bokelj	FK Jedinstvo	3:0	600
Stadion Tuško polje	FK Dečić	FK Čelik	5:0	400
Stadion u Radanovićima	FK Arsenal	FK Sutjeska	0:2	400
Stadion Trešnjica	FK Zeta	FK Lovćen	2:1	1.000
Stadion Racina	FK Jezero	OFK Petrovac	0:3	1.500
Stadion Topolica	FK Mornar	FK Rudar Pljevlja	0:1	800
Stadion braća Velašević	FK Iskra Danilovgrad	FK Zora	0:1	500
Stadion Cijevna	FK Bratstvo	FK Gusinje	3:0	140
Gradski stadion	FK Prvijenac	FK Komovi	0:1	250
