Year	Winner	Sport	Hometown	College
2003	Allyson Felix	Track & Field	North Hills, CA	USC
2004	Candace Parker	Basketball	Naperville, IL	Tennessee
2005	Cynthia Barboza	Volleyball	Long Beach, CA	Stanford
2006	Tina Charles	Basketball	Middle Village, NY	Connecticut
2007	Maya Moore	Basketball	Lawrenceville, GA	Connecticut
2008	Chanelle Price	Track & Field	Easton, PA	Tennessee
2009	Skylar Diggins	Basketball	South Bend, IN	Notre Dame
2010	Rebecca Woodberry	Basketball	Phoenix, AZ	Nebraska
2011	Morgan Brian	Soccer	St. Simons Island, GA	Virginia
2012	Breanna Stewart	Basketball	North Syracuse, NY	Connecticut
2013	Morgan Andrews	Soccer	Milford, NH	Notre Dame
