Game	Date	Opponent	Score	Location	Attendance	Record	Points
24	December 2	Philadelphia Flyers	3 - 4 OT	Wachovia Center	19227	6-10-8	20
25	December 4	Boston Bruins	1 - 3	St. Pete Times Forum	15598	6-11-8	20
26	December 6	Buffalo Sabres	3 - 4	St. Pete Times Forum	17154	6-12-8	20
27	December 8	Boston Bruins	3 - 5	TD Banknorth Garden	16973	6-13-8	20
28	December 10	Buffalo Sabres	2 - 4	HSBC Arena	18431	6-14-8	20
29	December 11	Montreal Canadiens	3 - 1	Bell Centre	21273	7-14-8	22
30	December 13	Ottawa Senators	0 - 2	Scotiabank Place	18446	7-15-8	22
31	December 18	Colorado Avalanche	1 - 2 SO	St. Pete Times Forum	16333	7-15-9	23
32	December 20	Atlanta Thrashers	3 - 4	Philips Arena	14395	7-16-9	23
33	December 23	Pittsburgh Penguins	2 - 0	Mellon Arena	17064	8-16-9	25
34	December 26	Florida Panthers	4 - 3 SO	BankAtlantic Center	16961	9-16-9	27
35	December 27	Florida Panthers	6 - 4	St. Pete Times Forum	18226	10-16-9	29
