Date	Visiting Team	Final Score	Host Team	Stadium
September 11	Indianapolis Colts	24-7	Baltimore Ravens	M&T Bank Stadium
September 18	Kansas City Chiefs	23-17	Oakland Raiders	McAfee Coliseum
September 25	New York Giants	23-45	San Diego Chargers	Qualcomm Stadium
October 2	San Francisco 49ers	14-31	Arizona Cardinals	Estadio Azteca
October 9	Cincinnati Bengals	20-23	Jacksonville Jaguars	Alltel Stadium
October 16	Houston Texans	10-42	Seattle Seahawks	Qwest Field
October 30	Buffalo Bills	16-21	New England Patriots	Gillette Stadium
November 6	Philadelphia Eagles	10-17	Washington Redskins	FedEx Field
November 13	Cleveland Browns	21-34	Pittsburgh Steelers	Heinz Field
November 20	Kansas City Chiefs	45-17	Houston Texans	Reliant Stadium
November 27	New Orleans Saints	21-19	New York Jets	Giants Stadium
December 4	Oakland Raiders	10-34	San Diego Chargers	Qualcomm Stadium
December 11	Detroit Lions	13-16	Green Bay Packers	Lambeau Field
December 17	Denver Broncos	28-17	Buffalo Bills	Ralph Wilson Stadium
December 18	Atlanta Falcons	3-16	Chicago Bears	Soldier Field
December 25	Minnesota Vikings	23-30	Baltimore Ravens	M&T Bank Stadium
December 31	New York Giants	30-21	Oakland Raiders	McAfee Coliseum
January 1 (2006)	St. Louis Rams	20-10	Dallas Cowboys	Texas Stadium
