Artist	Country	Number-one single(s)	Year	Weeks at #1	Straight to #1 ?
Paco	Viet Nam	"Amor de mis amores"	1988	5	No
Pagny, Florent	France	" N'importe quoi "	1988	8	No
Pagny, Florent	France	" Savoir aimer "	1997	9	No
Pagny, Florent	France	" Ma liberté de penser "	2003	6	No
Pakito	France	" Living on Video "	2004	4	No
Paradis, Vanessa	France	" Joe le taxi "	1987	11	No
Parker Jr., Ray	United States	" Ghostbusters "	1984	5	No
Parker, Tony	France	" Balance-toi "	2007	1	Yes
Passi	France	" Laisse parler les gens " 1	2003	3	No
Patti, Guesch	France	" Étienne "	1987	5	No
Pep's	France	"Liberta"	2009	2	Yes
Peter & Sloane	France	"Besoin de rien, envie de toi"	1984	9	No
Pietri, Julie	France	" Ève lève-toi "	1986	1	No
Pigloo	France	" Le Papa Pingouin "	2006	3	No
Pitbull	United States	" I Know You Want Me (Calle Ocho) "	2009	8	No
Plage, La	France	" Coup de Boule "	2006	3	No
M. Pokora	France	" Dangerous "	2008	1	Yes
Pow woW	France	" Le Chat "	1992	7	No
Product G&B, The	United States	" Maria Maria " 1	2000	4	No
