Pick	Player	Position	Nationality	NHL team	College/junior/club team
27	Cory Sarich	Defence	Canada	Buffalo Sabres (from Ottawa via St. Louis)	Saskatoon Blades (WHL)
28	Pavel Skrbek	Defence	Czech Republic	Pittsburgh Penguins (from San Jose via New Jersey)	HC Kladno ( Czech Republic )
29	Dan LaCouture	Left Wing	United States	New York Islanders	Enfield Jr. Whalers ( EJHL )
30	Josh Green	Centre	Canada	Los Angeles Kings	Medicine Hat Tigers (WHL)
32	Chris Hajt	Defence	Canada	Edmonton Oilers	Guelph Storm (OHL)
33	Darren Van Oene	Left Wing	Canada	Buffalo Sabres	Brandon Wheat Kings (WHL)
34	Trevor Wasyluk	Left Wing	Canada	Hartford Whalers	Medicine Hat Tigers (WHL)
35	Matt Cullen	Centre	United States	Mighty Ducks of Anaheim	St. Cloud State University (NCAA)
36	Marek Posmyk	Defence	Czech Republic	Toronto Maple Leafs (from New Jersey)	Dukla Jihlava (Czech Republic)
37	Marian Cisar	Right Wing	Slovakia	Los Angeles Kings (from Winnipeg)	HC Slovan Bratislava ( Slovakia )
38	Wes Mason	Left Wing	Canada	New Jersey Devils (from Vancouver)	Sarnia Sting (OHL)
39	Travis Brigley	Left Wing	Canada	Calgary Flames	Lethbridge Hurricanes (WHL)
40	Steve Begin	Centre	Canada	Calgary Flames (from St. Louis)	Val-d'Or Foreurs (QMJHL)
41	Josh DeWolf	Defence	United States	New Jersey Devils (from Toronto via Pittsburgh)	Twin Cities Vulcans ( USHL )
42	Jeff Paul	Defence	Canada	Chicago Blackhawks (from Tampa Bay)	Niagara Falls Thunder (OHL)
43	Jan Bulis	Centre	Czech Republic	Washington Capitals	Barrie Colts (OHL)
44	Mathieu Garon	Goaltender	Canada	Montreal Canadiens	Victoriaville Tigres (QMJHL)
45	Henry Kuster	Right Wing	Canada	Boston Bruins	Medicine Hat Tigers (WHL)
46	Geoff Peters	Centre	Canada	Chicago Blackhawks (from Florida via San Jose)	Niagara-Falls Thunder (OHL)
47	Pierre Dagenais	Left Wing	Canada	New Jersey Devils (from Chicago via Tampa Bay)	Moncton Alpines (QMJHL)
48	Daniel Goneau	Left Wing	Canada	New York Rangers	Granby Prédateurs (QMJHL)
49	Colin White	Defence	Canada	New Jersey Devils (from Pittsburgh)	Hull Olympiques (QMJHL)
50	Francis Larivee	Goaltender	Canada	Toronto Maple Leafs (from Philadelphia)	Laval Titan Collège Français (QMJHL)
51	Yuri Babenko	Centre	Russia	Colorado Avalanche	Krylya Sovetov Moscow (Russia)
