Year	Class	Team	Machine	Points	Rank	Wins
1991	125cc	Hero Sports TS- Honda	RS125	105	5th	2
1992	125cc	Marlboro Pileri - Honda	RS125	57	9th	0
1993	125cc	Marlboro Pileri - Honda	RS125	129	5th	1
1994	125cc	Givi Racing- Honda	RS125	194	2nd	3
1995	125cc	Givi Racing- Honda	RS125	65	12th	0
1996	125cc	Honda	RS125	126	7th	0
1997	125cc	Honda	RS125	238	2nd	4
1998	125cc	Team Givi- Honda LCR	RS125	62	13th	1
1999	125cc	Team Givi- Honda LCR	RS125	171	5th	1
2000	125cc	Team Givi- Honda LCR	RS125	153	5th	0
2001	125cc	F.C.C.-TSR Honda	RS125	94	9th	1
2002	125cc	Semprucci Angaia- Honda	RS125	18	23rd	0
