Year	Competition	Venue	Position	Event
2007	Multiplay i32 Cup	Newbury, Berkshire	2nd	Duel
2007	World Series of Video Games Toronto	Toronto, Canada	4th	Duel
2007	Electronic Sports World Cup	Paris, France	1st	Duel
2007	World Series of Video Games Lanwar	Louisville, Kentucky	1st	Duel
2007	Multiplay i30 & Belkin Tournament	Newbury, Berkshire	1st	Duel
2006	Poznan Game Arena	Poznan, Poland	1st	Duel
2006	World Cyber Games All Stars	Monza, Italy	3rd	2v2
2006	World Cyber Games All Stars	Monza, Italy	6th	Duel
2006	DigitalLife	New York, New York	2nd	Duel
2006	QuakeCon	Hilton Anatole in Dallas, Texas	4th	Duel
2006	QuakeCon	Hilton Anatole in Dallas, Texas	9th-12th	2v2
2006	The Gathering	Hamar Olympic Hall in Hamar, Norway	1st	Duel
2006	Samsung Netgamez	Nieuwegein, Netherlands	1st	Duel
