No. in season	No. in series	Title	Canadian airdate	US airdate	Production code
1	144	"Uptown Girl" Part One	5 October 2008	10 October 2008	801
2	145	"Uptown Girl" Part Two	12 October 2008	10 October 2008	802
3	146	"Fight the Power"	19 October 2008	17 October 2008	803
4	147	"Didn't We Almost Have It All"	2 November 2008	24 October 2008	804
5	148	"Man with Two Hearts"	9 November 2008	7 November 2008	805
6	149	"With or Without You"	16 November 2008	14 November 2008	806
7	150	"Money for Nothing"	23 November 2008	21 November 2008	807
8	151	"Lost in Love" Part One	30 November 2008	13 February 2009	808
9	152	"Lost in Love" Part Two	18 January 2009	13 February 2009	809
10	153	"Bad Medicine"	25 January 2009	20 February 2009	810
11	154	"Causing a Commotion"	8 February 2009	27 February 2009	811
12	155	"Heat of the Moment"	15 February 2009	6 March 2009	812
13	156	"Jane Says" Part One	1 March 2009	3 July 2009	813
14	157	"Jane Says" Part Two	8 March 2009	3 July 2009	814
15	158	"Touch of Grey"	15 March 2009	10 July 2009	815
16	159	"Heart of Glass"	22 March 2009	17 July 2009	816
17	160	"Up Where We Belong"	5 April 2009	24 July 2009	817
