Rank	Movie	Year	Studio(s)	Opening Weekend Net Gross
1	Chennai Express	2013	Red Chillies Entertainment	100,42,00,000
2	Yeh Jawaani Hai Deewani	2013	Dharma Productions	63,00,00,000
3	Dabangg 2	2012	Arbaaz Khan Productions	62,00,00,000
4	Ek Tha Tiger	2012	Yash Raj Films	57,85,00,000
5	Ra.One	2011	Red Chillies Entertainment	52,93,00,000
6	Bodyguard	2011	Reliance Entertainment	52,62,00,000
7	Dabangg	2012	Arbaaz Khan Productions	48,82,00,000
8	Rowdy Rathore	2012	UTV Motion Pictures	47,50,00,000
9	Don 2	2011	Excel Entertainment	46,33,00,000
10	Agneepath	2012	Dharma Productions	45,66,00,000
