Season	Mittelfranken Nord	Mittelfranken Süd	Unterfranken West	Unterfranken Ost	Oberfranken West	Oberfranken Ost
1951-52	Jahn Forchheim	ASV Fürth	Viktoria Kahl	FC Bad Kissingen	VfB Coburg	VfB Bayreuth
1952-53	ATSV Erlangen	FC Stein	Viktoria Kahl	TSV Gochsheim	FC Michelau	VfB Helmbrechts
1953-54	SpVgg Erlangen	TSV Südwest Nürmberg	1. FC Haßfurt	FC Eibelstadt	FC Pressig	SpVgg Bayreuth
1954-55	SpVgg Erlangen	1. FC Nuremberg II	VfR Goldbach	Bayern Kitzingen	TSV Küps	SpVgg Hof
1955-56	ATSV Erlangen	TSV 04 Schwabach	Alemannia Haibach	ASV Rimpar	SC Sylvia Ebersdorf	Wacker Marktredwitz
1956-57	SpVgg Büchenbach	TSV Südwest Nürmberg	1. FC Haßfurt	VfR Goldbach	SV Neuses	1. FC Bayreuth
1957-58	SpVgg Fürth II	ESV Nürnberg-West	SpVgg Niedernberg	TSV Gochsheim	FC Wallenfels	1. FC Bayreuth
1958-59	FC Hersbruck	ASV Nürnberg-Süd	VfR Goldbach	1. FC Haßfurt	TSV Küps	VfB Rehau
1959-60	1. FC Röthenbach	TSV Johannis Nürnberg	TuS Aschaffenburg	FV 04 Würzburg	ASV Gaustadt	ATS Kulmbach
1960-61	FC Hersbruck	ASV Zirndorf	Alemannia Haibach	ASV Rimpar	Wacker Marktredwitz	SV Neuses
1961-62	FC Schnaittach	ASV Zirndorf	Frankonia Mechenhard	TSV Gochsheim	1. FC Bayreuth	SV Neuses
