Restaurant Name	Original Name	Location	Chef	Designer	Still Open?
Aggie Martin	N/A	Brampton, ON	David Adjey	Glen Peloso	No
Bagel World	N/A	Toronto, ON	Corbin Tomaszeski	Robin Fraser	Yes
Nook	Bakerberry Caffe	Toronto, ON	Corbin Tomaszeski	Jonathan Furlong	Yes
Cork & Cabbage	Bistro Aubergine	Toronto, ON	Lynn Crawford	Cherie Stinson	No
Bulldog Cafe	N/A	Toronto, ON	Massimo Capra	Meredith Heron	Yes
Calypso Hut	N/A	N/A	Massimo Capra	Robin Fraser	No
Dhaba Indian Excellence	N/A	Toronto, ON	Susur Lee	Brenda Bent	Yes
Konrad Lounge	Di and Gabby's	Etobicoke, Toronto, ON	Massimo Capra	Tracy Kundell	Yes
Dooney's	N/A	Toronto, ON	Corbin Tomaszeski	Jonathan Furlong	No
The Citizen	Essence	Toronto, ON	Lynn Crawford	Brenda Bent	Yes
Golden Flame Restaurant	N/A	Richmond Hill, ON	Massimo Capra	Meredith Heron	No
Hamar Weyne	N/A	Toronto, ON	Corbin Tomaszeski	Tracy Kundell	Yes
Hollingers	N/A	Toronto, ON	Lynn Crawford	Cherie Stinson	No
Hollywood Panini	N/A	Richmond Hill, ON	Massimo Capra	Glen Peloso	No
Il Papagallo	N/A	Oakville, ON	Corbin Tomaszeski	Tracy Kundell	No
Jonathan's	N/A	Woodbridge, ON	David Adjey	Glen Peloso	Yes
Kensington's	N/A	Toronto, ON	Brad Long	Glen Peloso	Yes
La Cabana	N/A	N/A	David Adjey	Glen Peloso	No
Massimo's	N/A	Toronto, ON	Massimo Capra	Brenda Bent	Yes
The Olive Branch	Mighty Mike's	Toronto, ON	Lynn Crawford	Jonathan Furlong	Yes
Rifca's Mediterranean Kitchen	Pita Stop	Richmond Hill, ON	Brad Long	Glen Peloso	Yes
Roma Ristorante	N/A	Toronto, ON	David Adjey	Cheryl Torrenueva	Yes
Flame Bar & Grill	Seashell Seafood	N/A	David Adjey	Cheryl Torrenueva	No
The Central	N/A	N/A	Corbin Tomaszeski	Brenda Bent	Yes
The Richmond Rogue	N/A	Toronto, ON	Lynn Crawford	Meredith Heron	Yes
Waterfall Martini Lounge	N/A	N/A	David Adjey	Jonathan Furlong	No
