Res.	Record	Opponent	Method	Round	Time	Location
Loss	19–9	Daniel Cormier	Decision (unanimous)	3	5:00	Houston, Texas , United States
Loss	19–8	Stipe Miocic	Decision (unanimous)	3	5:00	Winnipeg, Manitoba , Canada
Win	19–7	Cheick Kongo	KO (punches)	1	2:03	Newark, New Jersey , United States
Win	18–7	Matt Mitrione	TKO (punches)	1	2:58	Las Vegas, Nevada , United States
Win	17–7	Dave Herman	KO (punch)	1	0:51	Las Vegas, Nevada , United States
Loss	16–7	Fabricio Werdum	Decision (unanimous)	3	5:00	Las Vegas, Nevada, United States
Win	16–6	Mirko Filipović	TKO (punches)	3	1:30	Las Vegas, Nevada, United States
Loss	15–6	Frank Mir	Decision (unanimous)	3	5:00	Las Vegas, Nevada, United States
Loss	15–5	Junior dos Santos	Decision (unanimous)	3	5:00	Oakland, California , United States
Win	15–4	Stefan Struve	KO (punches)	1	0:39	Charlotte, North Carolina , United States
Win	14–4	Brendan Schaub	KO (punch)	1	3:45	Las Vegas, Nevada , United States
Loss	13–4	Jeff Monson	Decision (unanimous)	3	5:00	Pensacola, Florida , United States
Loss	13–3	Andrei Arlovski	KO (punch)	2	3:14	Sunrise, Florida , United States
Win	13–2	Brad Imes	KO (punch)	1	3:55	Uncasville, Connecticut , United States
Win	12–2	Fabiano Scherner	TKO (punches)	1	3:20	Las Vegas, Nevada, United States
Win	11–2	Antoine Jaoude	KO (punch)	2	0:22	Uncasville, Connecticut , United States
Win	10–2	Bryan Vetell	TKO (punches)	3	1:01	Chicago, Illinois , United States
Win	9–2	Shane Ott	Decision (unanimous)	3	4:00	Las Vegas, Nevada, United States
Loss	8–2	Ben Rothwell	Decision (split)	3	4:00	Moline, Illinois , United States
Win	8–1	Mario Rinaldi	TKO (punches)	1	2:38	Costa Rica
Win	7–1	Vince Lucero	TKO (punches)	1	1:55	Oakland, California , United States
Loss	6–1	Josh Curran	Decision (unanimous)	3	5:00	Saint Petersburg , Russia
Win	6–0	Jerome Smith	Submission (arm-triangle choke)	1	4:13	Butte, Montana , United States
Win	5–0	Jason Godsey	Submission (rear-naked choke)	1	4:42	Butte, Montana , United States
Win	4–0	Michael Buchkovich	Submission (rear-naked choke)	1	0:56	Las Vegas, Nevada, United States
Win	3–0	Ray Seraile	Submission (punches)	2	3:41	Mangilao , Guam
Win	2–0	Jerry Vrbanovic	Decision (split)	3	3:00	Redding, California , United States
Win	1–0	Bo Cantrell	Submission (hammerlock)	3	2:52	Redding, California , United States
