Res.	Record	Opponent	Method	Round	Time	Location
Win	18–8 (1)	Irwing Machado	Submission (brabo choke)	1	1:25	Ribeirão Preto , São Paulo , Brazil
Win	17–8 (1)	Wellington Oliveira	Submission (rear naked choke)	1	4:22	Ribeirão Preto , São Paulo , Brazil
Loss	16–8 (1)	Keith Wisniewski	Decision (unanimous)	3	5:00	Valparaiso, Indiana , United States
Loss	16–7 (1)	Mike Pyle	Submission (guillotine choke)	3	2:15	Oklahoma City , Oklahoma , United States
Loss	16–6 (1)	John Howard	Decision (split)	3	5:00	Las Vegas , Nevada , United States
Win	16–5 (1)	Steve Bruno	Decision (unanimous)	3	5:00	Minneapolis , Minnesota , United States
Loss	15–5 (1)	Jon Fitch	Decision (unanimous)	3	5:00	Columbus, Ohio , United States
Win	15–4 (1)	Derrick Noble	Decision (unanimous)	3	5:00	Portland, Oregon , United States
Win	14–4 (1)	Ray Steinbeiss	Submission (armbar)	2	4:00	Vancouver , British Columbia , Canada
Win	13–4 (1)	Rory Markham	TKO (punches)	1	2:14	Uncasville , Connecticut , United States
Win	12–4(1)	Jay Hieron	Decision (unanimous)	3	4:00	Portland, Oregon , United States
Loss	11–4 (1)	Brad Blackburn	Decision (unanimous)	3	4:00	Portland, Oregon , United States
Win	11–3(1)	LaVerne Clark	Submission (triangle choke)	3	3:51	Portland, Oregon , United States
Loss	10–3 (1)	Nick Thompson	Submission (keylock)	2	2:08	Fort Lauderdale , Florida , United States
Win	10-2 (1)	Pat Healy	KO (knee)	1	1:28	Portland, Oregon , United States
Win	9–2 (1)	Cruz Chacon	Submission (triangle choke)	2	2:43	Calgary , Alberta , Canada
Win	8–2 (1)	Dave Garcia	Submission (triangle choke)	1	1:49	Las Vegas, Nevada , United States
Win	7–2 (1)	Brandon Melendez	KO (punch)	1	2:30	Gresham, Oregon , United States
Win	6–2 (1)	Jerome Isaacs	Submission (triangle choke)	1	0:57	Tacoma , Washington , United States
Win	5–2 (1)	Damian Hatch	TKO (punches)	3	1:55	Gresham, Oregon , United States
Loss	4–2 (1)	Eddy Ellis	Decision (unanimous)	3	5:00	Gresham, Oregon , United States
NC	4–1 (1)	Stale Nyang	No Contest	N/A	N/A	Copenhagen , Denmark
Loss	4–1	Cam Ward	Decision (split)	3	5:00	Portland, Oregon , United States
Win	4–0	Scott Poyer	TKO (punches)	1	0:16	Lynnwood , Washington , United States
Win	3–0	Chris Young	Submission (triangle choke)	1	1:03	Lynnwood , Washington , United States
Win	2–0	Joey Rubio	TKO (punches)	2	1:37	Yakima , Washington , United States
Win	1–0	Elder Pyatt	KO (punch)	1	0:10	Portland, Oregon , United States
