Tie no	Home team	Score	Away team	Date
1	Liverpool	3–0	Aston Villa	5 January 1985
2	Southampton	4–0	Sunderland	5 January 1985
3	Watford	5–0	Sheffield United	5 January 1985
4	Gillingham	2–1	Cardiff City	21 January 1985
5	Notts County	2–2	Grimsby Town	5 January 1985
Replay	Grimsby Town	4–2	Notts County	8 January 1985
6	Nottingham Forest	1–1	Newcastle United	6 January 1985
Replay	Newcastle United	1–3	Nottingham Forest	9 January 1985
7	Wolverhampton Wanderers	1–1	Huddersfield Town	5 January 1985
Replay	Huddersfield Town	3–1	Wolverhampton Wanderers	23 January 1985
8	Middlesbrough	0–0	Darlington	5 January 1985
Replay	Darlington	2–1	Middlesbrough	8 January 1985
9	Luton Town	1–1	Stoke City	5 January 1985
Replay	Stoke City	2–3	Luton Town	9 January 1985
10	Shrewsbury Town	0–2	Oxford United	5 January 1985
11	Doncaster Rovers	1–0	Queens Park Rangers	5 January 1985
12	Tottenham Hotspur	1–1	Charlton Athletic	5 January 1985
Replay	Charlton Athletic	1–2	Tottenham Hotspur	23 January 1985
13	Fulham	2–3	Sheffield Wednesday	5 January 1985
14	Barnsley	4–3	Reading	5 January 1985
15	Bristol Rovers	1–2	Ipswich Town	5 January 1985
16	Coventry City	2–1	Manchester City	5 January 1985
17	Portsmouth	0–0	Blackburn Rovers	5 January 1985
Replay	Blackburn Rovers	2–1	Portsmouth	26 January 1985
18	West Ham United	4–1	Port Vale	5 January 1985
19	Brighton & Hove Albion	1–0	Hull City	5 January 1985
20	Manchester United	3–0	Bournemouth	5 January 1985
21	Millwall	1–1	Crystal Palace	5 January 1985
Replay	Crystal Palace	1–2	Millwall	23 January 1985
22	Carlisle United	1–0	Dagenham	5 January 1985
23	Oldham Athletic	2–1	Brentford	5 January 1985
24	Chelsea	2–2	Wigan Athletic	5 January 1985
Replay	Wigan Athletic	0–5	Chelsea	26 January 1985
25	Wimbledon	3–1	Burnley	5 January 1985
26	Leeds United	0–2	Everton	4 January 1985
27	York City	3–0	Walsall	5 January 1985
28	Hereford United	1–1	Arsenal	5 January 1985
Replay	Arsenal	7–2	Hereford United	22 January 1985
29	Birmingham City	0–0	Norwich City	5 January 1985
Replay	Norwich City	1–1	Birmingham City	23 January 1985
Replay	Birmingham City	1–1	Norwich City	26 January 1985
Replay	Norwich City	1–0	Birmingham City	28 January 1985
30	Burton Albion	1–6	Leicester City	5 January 1985
Replay	Burton Albion	0–1	Leicester City	16 January 1985
31	Orient	2–1	West Bromwich Albion	5 January 1985
32	Telford United	2–1	Bradford City	5 January 1985
