Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2008	British Formula Renault 2.0 Winter Series	CR Scuderia	4	0	0	0	0	56	7th
2008	Portuguese Formula Renault 2.0 Winter Series	CR Scuderia	2	0	0	0	0	8	13th
2009	British Formula Renault 2.0	CRS Racing	19	0	1	2	4	323	5th
2009	Formula Renault 2.0 Northern European Cup	CRS Racing	2	0	0	0	0	8	33rd
2009	British Formula Renault 2.0 Winter Series	CRS Racing	4	2	4	1	4	119	1st
2010	British Formula Renault 2.0	CRS Racing	20	2	2	1	7	375	5th
2011	British Formula Three	Fortec Motorsport	30	1	0	0	4	78	11th
2012	British Formula Three	Carlin	28	4	0	1	9	226	5th
2012	FIA European Formula 3 Championship	Carlin	8	0	0	0	0	0	NC†
2012	Macau Grand Prix	s Fortec Motorsport	1	0	0	0	0	N/A	9th
