Week	Date	Opponent	Result	Attendance
1	September 17, 1967	at Green Bay Packers	T 17-17	50,861
2	September 24, 1967	Cleveland Browns	W 31-14	57,383
3	October 1, 1967	St. Louis Cardinals	L 38-28	43,821
4	October 8, 1967	Green Bay Packers	L 27-17	57,877
5	October 15, 1967	at Chicago Bears	L 14-3	46,024
6	October 22, 1967	Atlanta Falcons	W 24-3	50,601
7	October 29, 1967	at San Francisco 49ers	W 45-3	37,990
8	November 5, 1967	Chicago Bears	L 27-13	55,606
9	November 12, 1967	at Minnesota Vikings	T 10-10	40,032
10	November 19, 1967	at Baltimore Colts	L 41-7	60,238
11	November 23, 1967	Los Angeles Rams	L 31-7	54,389
12	December 3, 1967	Pittsburgh Steelers	L 24-14	47,713
13	December 10, 1967	at New York Giants	W 30-7	63,011
14	December 17, 1967	Minnesota Vikings	W 14-3	44,874
