Tie no	Home team	Score	Away team	Date
1	Blackpool	2–1	Lincoln City	25 November 1978
2	Chester	1–1	Runcorn	25 November 1978
Replay	Runcorn	0–5	Chester	28 November 1978
3	Darlington	1–1	Chesterfield	25 November 1978
Replay	Chesterfield	0–1	Darlington	6 December 1978
4	Dartford	1–2	AP Leamington	25 November 1978
5	Bournemouth	2–1	Hitchin Town	25 November 1978
6	Barnet	3–3	Woking	25 November 1978
Replay	Woking	3–3	Barnet	28 November 1978
Replay	Woking	3–0	Barnet	5 December 1978
7	Rochdale	0–1	Droylsden	25 November 1978
8	Watford	3–0	Dagenham	25 November 1978
9	Yeovil Town	0–1	Barking	25 November 1978
10	Reading	0–0	Gillingham	25 November 1978
Replay	Gillingham	1–2	Reading	28 November 1978
11	Walsall	0–2	Torquay United	25 November 1978
12	Swindon Town	2–0	March Town United	25 November 1978
13	Doncaster Rovers	2–1	Huddersfield Town	25 November 1978
14	Tranmere Rovers	2–1	Boston United	25 November 1978
15	Stockport County	5–1	Morecambe	25 November 1978
16	Chorley	0–1	Scarborough	25 November 1978
17	Barnsley	5–1	Worksop Town	25 November 1978
18	Maidstone United	1–0	Wycombe Wanderers	25 November 1978
19	Portsmouth	2–0	Northampton Town	25 November 1978
20	Bradford City	1–0	Port Vale	25 November 1978
21	Hull City	2–1	Stafford Rangers	25 November 1978
22	Carlisle United	1–0	Halifax Town	25 November 1978
23	Worcester City	2–0	Plymouth Argyle	25 November 1978
24	Altrincham	4–3	Southport	25 November 1978
25	Southend United	3–2	Peterborough United	25 November 1978
26	Exeter City	1–0	Brentford	25 November 1978
27	Scunthorpe United	1–1	Sheffield Wednesday	25 November 1978
Replay	Sheffield Wednesday	1–0	Scunthorpe United	28 November 1978
28	Mansfield Town	0–2	Shrewsbury Town	25 November 1978
29	Wealdstone	0–5	Enfield	25 November 1978
30	York City	1–1	Blyth Spartans	25 November 1978
Replay	Blyth Spartans	3–5	York City	28 November 1978
31	Hereford United	0–1	Newport County	25 November 1978
32	Rotherham United	3–0	Workington	25 November 1978
33	Aldershot	1–1	Weymouth	25 November 1978
Replay	Weymouth	0–2	Aldershot	29 November 1978
34	Wigan Athletic	2–2	Bury	25 November 1978
Replay	Bury	4–1	Wigan Athletic	28 November 1978
35	Colchester United	4–2	Oxford United	25 November 1978
36	Nuneaton Borough	0–2	Crewe Alexandra	25 November 1978
37	Gravesend & Northfleet	0–0	Wimbledon	25 November 1978
Replay	Wimbledon	1–0	Gravesend & Northfleet	28 November 1978
38	Leatherhead	2–1	Merthyr Tydfil	25 November 1978
39	Swansea City	4–1	Hillingdon Borough	25 November 1978
40	Hartlepool United	1–0	Grimsby Town	25 November 1978
