Year	Chassis	Engine	Start	Finish	Entrant
1977	Parnelli VPJ6B	Cosworth	7	20	Interscope Racing
1978	Parnelli VPJ6B	Cosworth	2	18	Interscope Racing
1979	Parnelli VPJ6C	Cosworth	27	4	Interscope Racing
1980	Parnelli VPJ6C	Cosworth	16	7	Interscope Racing
1981	Interscope 81	Cosworth	21	27	Interscope Racing
1982	Interscope 03	Cosworth	9	22	Interscope Racing
1983	March 83C	Cosworth	21	21	Interscope Racing
1984	March 84C	Cosworth	11	9	Interscope Racing
1985	March 85C	Cosworth	17	17	Interscope Racing
1986	March 86C	Buick	16	23	March Engineering
1987	Penske PC-16	Chevrolet	Practice Crash 1	Practice Crash 1	Team Penske
1996	Lola T95/00	Menard - Buick	33 2	7	Team Menard
1998	Dallara	Oldsmobile	DNQ	DNQ	Team Pelfrey
