Kōhaku #	Date	Red Team Host	White Team Host	Mediator	Winning Team
1	3 January 1951	Michiko Katō	Shuuichi Fujikura	Masaharu Tanabe	White
2	3 January 1952	Kiyoko Tange	Shuuichi Fujikura	Masaharu Tanabe	White
3	2 January 1953	Suga Honda	Teru Miyata	Masayori Shimura	White
4	31 December 1953	Takiko Mizunoe	Keizo Takahashi	Seigoro Kitade	Red
5	31 December 1954	Natsue Fukuji	Keizo Takahashi	Shōzaburō Ishii	Red
6	31 December 1955	Teru Miyata	Keizo Takahashi	Shōzaburō Ishii	Red
7	31 December 1956	Teru Miyata	Keizo Takahashi	Shōzaburō Ishii	White
8	31 December 1957	Takiko Mizunoe	Keizo Takahashi	Shōzaburō Ishii	Red
9	31 December 1958	Tetsuko Kuroyanagi	Keizo Takahashi	Shōzaburō Ishii	Red
10	31 December 1959	Meiko Nakamura	Keizo Takahashi	Shōzaburō Ishii	Red
11	31 December 1960	Meiko Nakamura	Keizo Takahashi	Shōzaburō Ishii	White
12	31 December 1961	Meiko Nakamura	Keizo Takahashi	Toshiaki Hosaka	White
13	31 December 1962	Mitsuko Mori	Teru Miyata	Shōzaburō Ishii	White
14	31 December 1963	Eri Chiemi	Teru Miyata	Shōzaburō Ishii	Red
15	31 December 1964	Eri Chiemi	Teru Miyata	Shōzaburō Ishii	White
16	31 December 1965	Michiko Hayashi	Teru Miyata	Shōzaburō Ishii	White
17	31 December 1966	Peggy Hayama	Teru Miyata	Shōzaburō Ishii	Red
18	31 December 1967	Yumiko Kokonoe	Teru Miyata	Shōzaburō Ishii	Red
19	31 December 1968	Kiyoko Suizenji	Kyu Sakamoto	Teru Miyata	White
20	31 December 1969	Yukari Ito	Kyu Sakamoto	Teru Miyata	Red
21	31 December 1970	Hibari Misora	Teru Miyata	Shizuo Yamakawa	Red
22	31 December 1971	Kiyoko Suizenji	Teru Miyata	Shizuo Yamakawa	White
23	31 December 1972	Naomi Sagara	Teru Miyata	Shizuo Yamakawa	Red
24	31 December 1973	Kiyoko Suizenji	Teru Miyata	Shizuo Yamakawa	Red
25	31 December 1974	Naomi Sagara	Shizuo Yamakawa	Masao Domon & Yōzō Nakae	Red
26	31 December 1975	Naomi Sagara	Shizuo Yamakawa	Hiroshi Aikawa	White
27	31 December 1976	Naomi Sagara	Shizuo Yamakawa	Hiroshi Aikawa	Red
28	31 December 1977	Naomi Sagara	Shizuo Yamakawa	Hiroshi Aikawa	White
29	31 December 1978	Mitsuko Mori	Shizuo Yamakawa	Hiroshi Aikawa	White
30	31 December 1979	Kiyoko Suizenji	Shizuo Yamakawa	Yōzō Nakae	Red
31	31 December 1980	Tetsuko Kuroyanagi	Shizuo Yamakawa	Yōzō Nakae	Red
32	31 December 1981	Tetsuko Kuroyanagi	Shizuo Yamakawa	Keiichi Ubukata	White
33	31 December 1982	Tetsuko Kuroyanagi	Shizuo Yamakawa	Keiichi Ubukata	Red
34	31 December 1983	Tetsuko Kuroyanagi	Kenji Suzuki	Tamori	White
35	31 December 1984	Mitsuko Mori	Kenji Suzuki	Keiichi Ubukata	Red
36	31 December 1985	Masako Mori	Kenji Suzuki	Masaho Senda	Red
37	31 December 1986	Yuki Saito & Yoriko Mekata	Yūzō Kayama & Masaho Senda	Seiichi Yoshikawa	White
38	31 December 1987	Akiko Wada	Yūzō Kayama	Seiichi Yoshikawa	Red
39	31 December 1988	Akiko Wada	Yūzō Kayama	Keiko Sugiura	White
40	31 December 1989	Yoshiko Mita	Tetsuya Takeda	Sadatomo Matsudaira	Red
41	31 December 1990	Yoshiko Mita	Toshiyuki Nishida	Sadatomo Matsudaira	White
42	31 December 1991	Yūko Ayano	Masaaki Sakai	Shizuo Yamakawa	Red
43	31 December 1992	Hikari Ishida	Masaaki Sakai	Shizuo Yamakawa	White
44	31 December 1993	Hikari Ishida	Masaaki Sakai	Miyuki Morita	White
45	31 December 1994	Emiko Kaminuma	Ichiro Furutachi	Yasuo Miyakawa	Red
46	31 December 1995	Emiko Kaminuma	Ichiro Furutachi	Ryūji Miyamoto & Mitsuyo Kusano	White
47	31 December 1996	Takako Matsu	Ichiro Furutachi	Ryūji Miyamoto & Mitsuyo Kusano	White
48	31 December 1997	Akiko Wada	Masahiro Nakai	Ryūji Miyamoto	White
49	31 December 1998	Junko Kubo	Masahiro Nakai	Ryūji Miyamoto	Red
50	31 December 1999	Junko Kubo	Nakamura Kankurō V	Ryūji Miyamoto	White
51	31 December 2000	Junko Kubo	Motoya Izumi	Ryūji Miyamoto	Red
52	31 December 2001	Yumiko Udō	Wataru Abe	Tamio Miyake	White
53	31 December 2002	Yumiko Udō	Wataru Abe	Tamio Miyake	Red
54	31 December 2003	Yumiko Udō & Takako Zenba	Wataru Abe & Tetsuya Takayama	Tōko Takeuchi	White
55	31 December 2004	Fumie Ono	Wataru Abe	Masaaki Horio	Red
57	31 December 2006	Yukie Nakama	Masahiro Nakai	Tamio Miyake & Megumi Kurosaki	White
58	31 December 2007	Masahiro Nakai**	Tsurube Shōfukutei	Kazuya Matsumoto & Miki Sumiyoshi	White
59	31 December 2008	Yukie Nakama	Masahiro Nakai	Kazuya Matsumoto	White
60	31 December 2009	Yukie Nakama	Masahiro Nakai	Wataru Abe	White
61	31 December 2010	Nao Matsushita	Arashi	Wataru Abe	White
62	31 December 2011	Mao Inoue	Arashi	Wataru Abe	Red
