Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 3, 2000	Carolina Panthers	W 20-17	FedEx Field	1-0	80,257
2	September 10, 2000	at Detroit Lions	L 15-10	Pontiac Silverdome	1-1	74,159
3	September 18, 2000	Dallas Cowboys	L 27-21	FedEx Field	1-2	84,431
4	September 24, 2000	at New York Giants	W 16-6	Giants Stadium	2-2	78,216
5	October 1, 2000	Tampa Bay Buccaneers	W 20-17	FedEx Field	3-2	83,532
6	October 8, 2000	at Philadelphia Eagles	W 17-14	Veterans Stadium	4-2	65,491
7	October 15, 2000	Baltimore Ravens	W 10-3	FedExField	5-2	83,252
8	October 22, 2000	at Jacksonville Jaguars	W 35-16	ALLTEL Stadium	6-2	69,061
9	October 30, 2000	Tennessee Titans	L 27-21	FedEx Field	6-3	83,472
10	November 5, 2000	at Arizona Cardinals	L 16-15	Sun Devil Stadium	6-4	52,244
11	Bye	Bye	Bye	Bye	Bye	Bye
12	November 20, 2000	at St. Louis Rams	W 33-20	Trans World Dome	7-4	66,087
13	November 26, 2000	Philadelphia Eagles	L 23-20	FedEx Field	7-5	83,284
14	December 3, 2000	New York Giants	L 9-7	FedEx Field	7-6	83,485
15	December 10, 2000	at Dallas Cowboys	L 32-13	Texas Stadium	7-7	63,467
16	December 16, 2000	at Pittsburgh Steelers	L 24-3	Three Rivers Stadium	7-8	58,183
17	December 24, 2000	Arizona Cardinals	W 20-3	FedEx Field	8-8	65,711
