Nat.	Name	Status	Contract length	Expiry date	Source
ANG	Rui Marques	Signed	2 years	May 2010	Leeds United
ENG	Howson	Signed	3 years 1	June 2011	Leeds United
ENG	Edwards	Signed	1 year	July 2009	Leeds United
ENG	Ovington	Signed	1 year	July 2009	Leeds United
ENG	Prutton	Signed	1 year	June 2010	Leeds United
SCO	Martin	Signed	3 years	August 2011	Leeds United
ENG	Webb	Signed	1 year	August 2009	LUTV
ENG	Delph	Signed	4 years	August 2012	Leeds United
ENG	White	Signed	4 years	December 2012	Leeds United
ENG	Lees	Signed	3 years	January 2011	Leeds United
ENG	Hughes	Signed	1 year 2	June 2010	Leeds United
