Round	Grand Prix	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	Australian Grand Prix	Mika Häkkinen	Mika Häkkinen	Mika Häkkinen	McLaren - Mercedes	Report
2	Brazilian Grand Prix	Mika Häkkinen	Mika Häkkinen	Mika Häkkinen	McLaren - Mercedes	Report
3	Argentine Grand Prix	David Coulthard	Alexander Wurz	Michael Schumacher	Ferrari	Report
4	San Marino Grand Prix	David Coulthard	Michael Schumacher	David Coulthard	McLaren - Mercedes	Report
5	Spanish Grand Prix	Mika Häkkinen	Mika Häkkinen	Mika Häkkinen	McLaren - Mercedes	Report
6	Monaco Grand Prix	Mika Häkkinen	Mika Häkkinen	Mika Häkkinen	McLaren - Mercedes	Report
7	Canadian Grand Prix	David Coulthard	Michael Schumacher	Michael Schumacher	Ferrari	Report
8	French Grand Prix	Mika Häkkinen	David Coulthard	Michael Schumacher	Ferrari	Report
9	British Grand Prix	Mika Häkkinen	Michael Schumacher	Michael Schumacher	Ferrari	Report
10	Austrian Grand Prix	Giancarlo Fisichella	David Coulthard	Mika Häkkinen	McLaren - Mercedes	Report
11	German Grand Prix	Mika Häkkinen	David Coulthard	Mika Häkkinen	McLaren - Mercedes	Report
12	Hungarian Grand Prix	Mika Häkkinen	Michael Schumacher	Michael Schumacher	Ferrari	Report
13	Belgian Grand Prix	Mika Häkkinen	Michael Schumacher	Damon Hill	Jordan - Mugen-Honda	Report
14	Italian Grand Prix	Michael Schumacher	Mika Häkkinen	Michael Schumacher	Ferrari	Report
15	Luxembourg Grand Prix	Michael Schumacher	Mika Häkkinen	Mika Häkkinen	McLaren - Mercedes	Report
