Season	Series	Wins	Podiums	Points	Position
2003	Formula BMW ADAC	0	0	13	19th
2004	Formula BMW ADAC	0	0	37	12th
2005	Formula BMW ADAC	0	3	90	6th
2006	German Formula Three	0	1	11	13th
2006	German Formula Three	0	2	17	11th
2006	Austria Formula 3 Cup	1	2	35	4th
2006	Formula 3 Euro Series	0	0	0	24th
2007	Star Mazda Championship	0	2	217	15th
2007	Atlantic Championship	0	0	0	34th
2008	Spanish Formula Three	0	4	76	3rd
2008	Spanish Formula Three	5	12	110	1st
2009	FIA Formula Two Championship	0	0	2	23rd
2009	Formula Le Mans Cup	0	2	52	10th
2009	Radical European Masters	1	8	133	5th
2010	Auto GP	0	0	1	21st
2010	FIA GT1 World Championship	0	0	0	60th
2010	Le Mans 24 Hours	0	0	N/A	NC
