Res.	Record	Opponent	Method	Event	Round	Location
Loss	34–17 (1)	Wills Brooks	Decision (unanimous)	Bellator 101	3	Portland, Oregon , United States
NC	34–16 (1)	Dave Mazany	No Contest (eye poke)	AFC 13: Natural Selection	1	Victoria, British Columbia , Canada
Loss	34–16	Shane Roller	Decision (unanimous)	UFC 148	3	Las Vegas, Nevada , United States
Loss	34–15	Mark Bocek	Decision (unanimous)	UFC 145	3	Atlanta, Georgia , United States
Win	34–14	Ryan Healy	Decision (unanimous)	Score Fighting Series 4	3	Hamilton, Ontario , Canada
Win	33–14	Luiz Firmino	Decision (unanimous)	Superior Cage Combat 3	3	Las Vegas , Nevada , United States
Win	32–14	Shawn Fitzsimmons	Technical submission (rear-naked choke)	Superior Cage Combat 2	2	Las Vegas , Nevada , United States
Loss	31–14	Siyar Bahadurzada	TKO (punches)	United Glory 13	1	Charleroi , Belgium
Win	31–13	Phil Collins	TKO (punches)	Tachi Palace Fights 7	3	Lemoore, California , United States
Win	30–13	Sergey Golyaev	Submission (kimura)	United Glory 12	2	Amsterdam , Netherlands
Win	29–13	War Machine	Technical submission (rear-naked choke)	TPF 5: Stars and Strikes	3	Lemoore, California , United States
Win	28–13	Chris Clements	Submission (guillotine choke)	W-1 MMA 4: Bad Blood	1	Montreal, Quebec , Canada
Win	27–13	Matt Delanoit	Submission (rear-naked choke)	ROF 37: Warlords	1	Omaha, Nebraska , United States
Win	26–13	Luigi Fioravanti	KO (punches)	MFC 22	3	Edmonton , Alberta, Canada
Win	25–13	Andrew Buckland	Submission (rear naked choke)	MFC 21	1	Enoch , Alberta , Canada
Loss	24–13	André Galvão	Submission (armbar)	Dream 8	1	Nagoya , Japan
Loss	24–12	Paul Daley	KO (punches)	MFC 19	2	Alberta , Canada
Win	24–11	Gideon Ray	TKO (punches)	SuperFights MMA: Night of Combat 2	1	Las Vegas , Nevada , United States
Win	23–11	Pete Spratt	Submission (rear naked choke)	Banner Promotions: Night of Combat	2	Las Vegas , Nevada , United States
Loss	22–11	Brock Larson	DQ (knee to downed fighter)	WEC 33	1	Nevada , United States
Win	22–10	Todd Moore	Decision (unanimous)	WEC 31	3	Nevada , United States
Win	21–10	Marcelo Brito	Decision (unanimous)	WEC 30	3	Nevada , United States
Win	20–10	Alex Serdyukov	Submission (guillotine choke)	WEC 28	1	Nevada , United States
Loss	19–10	Carlos Condit	Submission (rear naked choke)	WEC 26	2	Nevada , United States
Win	19–9	Brian Gassaway	Submission (rear naked choke)	WEC 25	1	Nevada , United States
Loss	18–9	Thiago Alves	Decision (unanimous)	Ortiz vs. Shamrock 3: The Final Chapter	3	Florida , United States
Win	18–8	Alex Serdyukov	Submission (rear naked choke)	WEC 23	3	California , United States
Loss	17–8	Diego Sanchez	Decision (unanimous)	UFC 60	3	California , United States
Win	17–7	Savant Young	Submission (rear naked choke)	King of the Cage: Shock and Awe	3	Alberta , Canada
Win	16–7	Shannon Ritch	TKO (punches)	King of the Cage: Prime Time	1	California , United States
Loss	15–7	Jonathan Goulet	Decision (split)	TKO 18: Impact	3	Montreal, Quebec , Canada
Win	15–6	Brandon Olsen	Submission (armbar)	Enter the Beast	1	British Columbia , Canada
Win	14–6	Ronald Jhun	Decision (unanimous)	King of the Cage 29: Renegades	3	California , United States
Loss	13–6	Jason Black	Decision (split)	UCC 12: Adrenaline	3	Quebec , Canada
Win	13–5	Eiji Mitsuoka	TKO (doctor stoppage)	Pride The Best Vol.2	2	Tokyo , Japan
Win	12–5	Chris Brennan	TKO (punches)	King of the Cage 15: Bad Intentions	1	California , United States
Win	11–5	John Delao	TKO (punches)	World Freestyle Fighting 1	1	Canada
Win	10–5	Nassor Lewis	Submission (rear naked choke)	King of the Cage 12: Cold Blood	1	California , United States
Win	9–5	Sean Pierson	KO ( head kick)	UCC 7: Bad Boyz	2	Montreal, Quebec , Canada
Win	8–5	Thomas Denny	Submission (keylock)	KOTC 11 - Domination	1	California , United States
Loss	7–5	Joe Doerksen	Submission (rear naked choke)	Superbrawl: Futurebrawl 2000	2	Hawaii , United States
Loss	7–4	Pat Miletich	Submission (armbar)	UFC 26	2	Iowa , United States
Win	7–3	Jay R. Palmer	Submission (rear naked choke)	SuperBrawl 16	1	Hawaii , United States
Win	6–3	John Chrisostomo	TKO (strikes)	SuperBrawl 16	2	Hawaii , United States
Loss	5–3	Egan Inoue	Submission (rear naked choke)	SuperBrawl 15	1	Hawaii , United States
Win	5–2	Jason Meaders	Decision (split0	Neutral Grounds 13	N/A	California , United States
Loss	4–2	Kousei Kubota	Submission (kimura)	Pancrase - Breakthrough 9	1	Tokyo , Japan
Win	4–1	Fritz Borchardt	TKO (strikes)	Extreme Challenge 28	1	Utah , United States
Win	3–1	Ben Earwood	Decision (split)	Extreme Challenge 28	1	Utah , United States
Loss	2–1	David Harris	Submission (rear naked choke)	Bas Rutten Invitational 2	1	Colorado , United States
Win	2–0	Derek McClinton	submission (heel hook)	Ultimate Battle	1	Canada
Win	1–0	Mike Headley	submission (arm triangle choke)	Ultimate Battle	1	Canada
