Date	Venue	Score	Result	Competition
9 November 2007	Kallang , Singapore	1–0	2–0	2010 FIFA World Cup qualification
9 November 2007	Kallang, Singapore	2–0	2–0	2010 FIFA World Cup qualification
24 January 2008	Muscat, Oman	2–0	2–0	Friendly
26 March 2008	Kallang, Singapore	1–0	2–0	2010 FIFA World Cup qualification
2 June 2008	Kallang, Singapore	1–1	3–7	2010 FIFA World Cup qualification
29 November 2008	Petaling Jaya , Malaysia	1–0	2–2	Friendly
29 November 2008	Petaling Jaya, Malaysia	2–1	2–2	Friendly
22 October 2009	Ho Chi Minh City , Vietnam	1–0	4–2	2009 Ho Chi Minh City Int'l Football Cup
22 October 2009	Ho Chi Minh City, Vietnam	2–1	4–2	2009 Ho Chi Minh City Int'l Football Cup
24 October 2009	Ho Chi Minh City, Vietnam	1–1	2–2	2009 Ho Chi Minh City Int'l Football Cup
4 November 2009	Kallang, Singapore	1–0	3–1	Friendly
4 November 2009	Kallang, Singapore	3–1	3–1	Friendly
18 November 2009	Bangkok , Thailand	1–0	1–0	2011 AFC Asian Cup qualification
2 November 2010	Hanoi , Vietnam	1–0	1–2	VFF Cup
2 December 2010	Hanoi, Vietnam	1–0	1–1	2010 AFF Suzuki Cup
5 December 2010	Hanoi, Vietnam	1–1	2–1	2010 AFF Suzuki Cup
7 June 2011	Kallang, Singapore	4–0	4–0	Friendly
18 July 2011	Kallang, Singapore	1–0	3–2	Friendly
18 July 2011	Kallang, Singapore	2–1	3–2	Friendly
23 July 2011	Kallang, Singapore	1–1	5–3	2014 FIFA World Cup qualification
23 July 2011	Kallang, Singaopre	5–3	5–3	2014 FIFA World Cup qualification
2 September 2011	Kunming , China	1–0	1–2	2014 FIFA World Cup qualification
7 October 2011	Kallang, Singapore	2–0	2–0	Friendly
15 August 2012	Jalan Besar, Singapore	1–0	2–0	Friendly
15 August 2012	Jalan Besar, Singapore	2–0	2–0	Friendly
19 November 2012	Jurong West, Singapore	4–0	4–0	Friendly
25 November 2012	Kuala Lumpur , Malaysia	3–0	3–0	2012 AFF Suzuki Cup
