Series Ep #	Season 2 Ep #	Title	Director	Writer(s)	Original Airdate	Production Code
14	1	"Have a Seat, Earl"	Artie Mandelberg	Nancy Miller	July14,2008	201
15	2	"A Survivor Lives Here"	Guy Ferland	Mark Israel Talicia Raggs	July21,2008	202
16	3	"A Little Hometown Love"	Adam Davidson	Hans Tobeason Roger Wolfson	July28,2008	203
17	4	"It's a Fierce, White-Hot Mighty Love"	Gary A. Randall	Annie Brunner	August4,2008	204
18	5	"Do You Love Him?"	Artie Mandelberg	Joseph Dougherty Denitria Harris-Lawrence	August11,2008	205
19	6	"Are You an Indian Princess?"	Gwyneth Horder-Payton	Mark Israel Roger Wolfson	August18,2008	206
20	7	"You Are My Partner"	Gary A. Randall	Hans Tobeason	August25,2008	207
21	8	"The Heart of a Cop"	Artie Mandelberg	Denitria Harris-Lawrence	March2,2009	208
22	9	"Do You Believe in Second Chances?"	Elodie Keene	Joseph Dougherty	March9,2009	209
23	10	"Take Me Somewhere, Earl"	Tricia Brock	Annie Brunner	March16,2009	210
24	11	"The Live Ones"	Artie Mandelberg	Mark Israel Suzan Olson	March23,2009	211
25	12	"But There's Clay"	Rod Hardy	Denitria Harris-Lawrence Talicia Raggs	March30,2009	212
26	13	"So What's the Purpose of a Platypus?"	Rohn Schmidt	Mark Israel	April6,2009	213
