Round	Pick	Player	Position	School/Club Team
1	1	Bruce Smith	Defensive End	Virginia Tech
1	14	Derrick Burroughs	Defensive Back	Memphis
2	29	Mark Traynowicz	Guard	Nebraska
2	42	Chris Burkett	Wide Receiver	Jackson State
3	57	Frank Reich	Quarterback	Maryland
3	63	Hal Garner	Linebacker	Utah State
4	86	Andre Reed	Wide Receiver	Kutztown State
4	112	Dale Hellestrae	Tackle	Southern Methodist
5	130	Jimmy Teal	Wide Receiver	Texas A&M
6	141	Mike Hamby	Defensive End	Utah State
7	169	Ron Pitts	Defensive Back	UCLA
8	197	Jacque Robinson	Fullback	Washington
9	225	Glenn Jones	Defensive Back	Norfolk State
10	253	Chris Babyar	Guard	Illinois
11	282	James Seawright	Linebacker	South Carolina
12	333	Paul Woodside	Kicker	West Virginia
