Name of System	Location	Traction Type	Date (From)	Date (To)	Notes
ATM (1897–1917) GTA (1919–1922)	Apeldoorn	Horse	12 August 1897	11 November 1917	Apeldoornsche Tramweg-Maatschappij
ATM (1897–1917) GTA (1919–1922)	Apeldoorn	Petrol (gasoline)	5 June 1919	8 October 1922	Gemeentetram Apeldoorn
ATM (1880–1911) GETA (1911–1944)	Arnhem	Horse	3 May 1880	12 June 1912	Arnhemsche Tramweg-Maatschappij
HSM (1883–1910) GT (1915–1922)	Groenlo	Steam	29 May 1883	31 December 1910	Hollandshe IJzeren Spoorweg-Maatschappij
HSM (1883–1910) GT (1915–1922)	Groenlo	Petrol (gasoline)	6 August 1915	Oct 1922	Groenlosche Tram
HSM (1883–1910) GT (1915–1922)	Groenlo	Horse	1917	1919	Temporary use of horses because of lack of petrol
NTM (1889–1912) M&W (1912–1921) GTN (1911–1955)	Nijmegen	Horse	1889	1911	Nijmeegsche Tramweg-Maatschappij
NTM (1889–1912) M&W (1912–1921) GTN (1911–1955)	Nijmegen	Steam	30 June 1889	31 December 1921	Stoomtram Maas en Waal
NTM (1889–1912) M&W (1912–1921) GTN (1911–1955)	Nijmegen	Electric	4 June 1911	20 November 1955	Gemeentetram Nijmegen Replaced by trolleybus
GTZ	Zaltbommel	Horse	14 March 1910	31 August 1923	Gemeentetram Zaltbommel
