Round	Overall	Player	Position	School/Club Team
1	18	Bob Matheson	Linebacker	Duke
2	46	Larry Conjar	Running Back	Notre Dame
3	55	Don Cockroft	Kicker	Adams State
3	72	Eppie Barney	Flanker	Iowa State
4	83	Carl Ward	Defensive Back	Michigan
4	98	Joe Taffoni	Tackle	Tennessee-Martin
6	152	John Demarie	Guard	LSU
7	177	Bill House	Tackle	Youngstown State
8	205	Bill Devrow	Defensive Back	Southern Mississippi
9	230	Cecil Dowdy	Linebacker	Alabama
10	255	Jim Copeland	Center	Virginia
11	282	Bill Sabatino	Defensive Tackle	Colorado
12	308	Charlie Fowler	Guard	Houston
13	333	Billy Andrews	Linebacker	Southeastern Louisiana
14	360	Floyd Rogers	Tackle	Clemson
15	386	Dennis Williamson	Defensive Back	Wisconsin-Whitewater
16	411	Don Williams	End	Akron
17	439	Ben Davis	Defensive Back	Defiance
