Name	Category	Eliminated	Date	Special Guest
Jiří Zonyga	24+ years	WINNER	June 1	see the next line
Ondřej Ruml	24+ years	Final Night	June 1	5Angels ,Olympic
All X	Vocal Groups	James Bond Night	May 25	M.T.A. + "Čhave Jilestar"
Martina Pártlová	24+ years	American Night	May 18	Láďa Kerndl and Henry Lee
Kamila Nývltová	15–24 years	Night of Revived Legends	May 11	Zombies (dancing on Michael Jackson 's "Thriller")
Za 5 Dvanáct	Vocal Groups	Czechoslovak Night	May 4	Miro Žbirka
David Gránský	15–24 years	Banana Night	April 27	Karl Wolf
Anna Ungrová	15–24 years	Night of Broken Hearts	April 20	Helena Zeťová
Pavlína Ďuriačová	15–24 years	Tribute to Karel	April 13	Karel Gott
Divoký Kočky + Dante	Vocal Groups	Popcorn night	April 6	Iva Frühlingová
Lukáš Javůrek	24+ years	Chocolate Night	March 30	Gipsy.cz
Romantic	Vocal Groups	Fire Night	March 23	Shayne Ward
