Week	Date	Opponent	Result	Attendance
1	September 16, 1973	at Miami Dolphins	L 21-13	68,275
2	September 23, 1973	at Denver Broncos	W 36-34	50,966
3	September 30, 1973	Los Angeles Rams	L 40-20	57,487
4	October 7, 1973	at Atlanta Falcons	W 13-9	51,107
5	October 14, 1973	Minnesota Vikings	L 17-13	56,438
6	October 21, 1973	New Orleans Saints	W 40-0	52,881
7	October 28, 1973	Atlanta Falcons	L 17-3	56,825
8	November 4, 1973	at Detroit Lions	L 30-20	49,531
9	November 11, 1973	at Washington Redskins	L 33-9	54,381
10	November 18, 1973	at Los Angeles Rams	L 31-13	78,358
11	November 26, 1973	Green Bay Packers	W 20-6	49,244
12	December 2, 1973	Philadelphia Eagles	W 38-28	51,155
13	December 9, 1973	at New Orleans Saints	L 16-10	62,490
14	December 15, 1973	Pittsburgh Steelers	L 37-14	52,252
