From	Goal	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6+
1976	200	Single	Single	Double	Double	Double	Double
1979	300	Single	Single	Single	Double	Triple	Triple
1979	300	Single	Single	Double	Double	Triple	Triple
1982	300	Single	Single	Single	Double	Triple	Triple
1984	400	Single	Single	Single	Single	Double	Triple
1988	300	Single	Single	Single	Double	Triple	Triple
1988	300	Single	Single	Double	Triple	Triple	Triple
1990	300	Single	Single	Single	Double	Triple	Triple
1992	300	Single	Single	Double	Triple	Triple	Triple
1993	300	Single	Double	Triple	Triple	Triple	Triple
