Date	Time	Home	Geust	Result
20.10.07	15:00	SC Binningen (2.L)	FC Basel (ASL)	1:6
20.10.07	16:00	FC Baulmes (1.L)	FC Lausanne-Sport (ChL)	0:2 n.V.
20.10.07	17:30	FC Winterthur (ChL)	Grasshopper-Club Zürich (ASL)	2:3
20.10.07	17:30	FC Wohlen (ChL)	AC Bellinzona (ChL)	4:5 n.P.
20.10.07	17:30	SC Kriens (ChL)	FC Aarau (ASL)	1:0
20.10.07	19:30	Etoile-Carouge FC (1.L)	FC Sion (ASL)	0:2
21.10.07	14:00	FC Concordia BS (ChL)	FC Zürich (ASL)	6:7 n.P.
21.10.07	14:30	FC Colombier (2.L)	Yverdon-Sport FC (ChL)	1:3
21.10.07	14:30	FC Gossau (ChL)	FC St. Gallen (ASL)	2:0
21.10.07	14:30	FC Langenthal (2.L)	FC Luzern (ASL)	2:5
21.10.07	14:30	FC Locarno (ChL)	BSC Young Boys (ASL)	0:2
21.10.07	14:30	Racing Club GE (2.L)	Neuchâtel Xamax FC (ASL)	2:5 n.V.
21.10.07	15:00	SC Cham (ChL)	FC Thun (ASL)	0:1
21.10.07	15:00	FC Schaffhausen (ChL)	FC Wil (ChL)	3:1
21.10.07	15:00	Stade Nyonnais (1.L)	Servette FC (ChL)	2:1
21.10.07	17:00	FC Chiasso (ChL)	AC Lugano (ChL)	3:1
