County	Precincts	Lunsford	% Lunsford	McConnell	% McConnell	Total
Adair	16	2198	30.88%	4920	69.12%	7,118 (R)
Allen	13	2331	31.85%	4987	68.15%	7,318 (R)
Anderson	14	4787	46.27%	5558	53.73%	10,345 (R)
Ballard	13	1893	46.68%	2162	53.32%	4,055 (R)
Barren	24	6735	41.15%	9630	58.85%	16,365 (R)
Bath	12	2747	61.36%	1730	38.64%	4,477 (D)
Bell	33	3494	38.83%	5505	61.17%	8,999 (R)
Boone	60	15224	30.75%	34285	69.25%	49,509 (R)
Bourbon	18	4325	52.26%	3951	47.74%	8,276 (D)
Boyd	47	11174	54.23%	9430	45.77%	20,604 (D)
Boyle	25	5854	46.90%	6627	53.10%	12,481 (R)
Bracken	8	1382	41.17%	1975	58.83%	3,357 (R)
Breathitt	21	3111	61.41%	1955	38.59%	5,066 (D)
Breckinridge	15	3736	44.02%	4752	55.98%	8,488 (R)
Bullitt	44	12501	41.85%	17368	58.15%	29,869 (R)
Butler	12	1771	33.59%	3501	66.41%	5,272 (R)
Caldwell	13	2821	46.30%	3272	53.70%	6,093 (R)
Calloway	30	6870	45.39%	8266	54.61%	15,136 (R)
Campbell	66	14789	37.55%	24591	62.45%	39,380 (R)
Carlisle	6	1220	46.51%	1403	53.49%	2,623 (R)
Carroll	11	2157	57.23%	1612	42.77%	3,769 (D)
Carter	23	5220	53.74%	4494	46.26%	9,714 (D)
Casey	15	1783	30.55%	4053	69.45%	5,836 (R)
Christian	44	9030	40.79%	13109	59.21%	22,139 (R)
Clark	26	7436	48.49%	7898	51.51%	15,334 (R)
Clay	20	2458	33.85%	4804	66.15%	7,262 (R)
Clinton	13	1029	25.42%	3019	74.58%	4,048 (R)
Crittenden	12	1615	41.59%	2268	58.41%	3,883 (R)
Cumberland	9	763	28.62%	1903	71.38%	2,666 (R)
Daviess	84	20779	47.94%	22563	52.06%	43,342 (R)
Edmonson	10	1996	38.06%	3249	61.94%	5,245 (R)
Elliott	7	1830	71.99%	712	28.01%	2,542 (R)
Estill	15	2162	41.36%	3065	58.64%	5,227 (R)
Fayette	274	68029	54.15%	57605	45.85%	125,634 (R)
Fleming	18	2845	50.04%	2841	49.96%	5,686 (D)
Floyd	42	10105	64.35%	5598	35.65%	15,703 (D)
Franklin	44	13888	59.00%	9651	41.00%	23,539 (R)
Fulton	13	1456	53.49%	1266	46.51%	2,722 (D)
Gallatin	8	1435	45.66%	1708	54.34%	3,143 (R)
Garrard	13	2858	40.11%	4268	59.89%	7,126 (R)
