Tie no	Home team	Score	Away team	Date
1	Enfield	0–2	Bognor Regis Town	16 November 1985
2	Bournemouth	0–0	Dartford	16 November 1985
Replay	Dartford	0–2	Bournemouth	19 November 1985
3	Bury	2–0	Chester City	16 November 1985
4	Rochdale	2–1	Darlington	16 November 1985
5	Yeovil Town	2–4	Hereford United	16 November 1985
6	Reading	1–0	Wealdstone	16 November 1985
7	Walsall	7–3	Preston North End	16 November 1985
8	Gillingham	3–0	Northampton Town	16 November 1985
9	Notts County	6–1	Scarborough	17 November 1985
10	Macclesfield Town	1–2	Hartlepool United	16 November 1985
11	Derby County	5–1	Crewe Alexandra	16 November 1985
12	Lincoln City	0–1	Blackpool	16 November 1985
13	Swindon Town	0–0	Bristol City	17 November 1985
Replay	Bristol City	4–2	Swindon Town	20 November 1985
14	Wrexham	3–1	Bolton Wanderers	16 November 1985
15	Tranmere Rovers	2–2	Chesterfield	16 November 1985
Replay	Chesterfield	0–1	Tranmere Rovers	19 November 1985
16	Stockport County	0–1	Telford United	16 November 1985
17	Windsor & Eton	1–1	Torquay United	16 November 1985
Replay	Torquay United	3–0	Windsor & Eton	19 November 1985
18	Chorley	0–2	Altrincham	16 November 1985
19	Wycombe Wanderers	2–0	Colchester United	16 November 1985
20	Brentford	1–3	Bristol Rovers	16 November 1985
21	Plymouth Argyle	1–0	Aldershot	16 November 1985
22	Southend United	0–1	Newport County	16 November 1985
23	Exeter City	2–1	Cardiff City	16 November 1985
24	Mansfield Town	1–1	Port Vale	16 November 1985
Replay	Port Vale	1–0	Mansfield Town	18 November 1985
25	Halifax Town	1–3	Scunthorpe United	16 November 1985
26	Runcorn	2–2	Boston United	16 November 1985
Replay	Boston United	1–1	Runcorn	20 November 1985
Replay	Runcorn	4–1	Boston United	25 November 1985
27	York City	0–0	Morecambe	16 November 1985
Replay	Morecambe	0–2	York City	19 November 1985
28	Bishop's Stortford	2–2	Peterborough United	16 November 1985
Replay	Peterborough United	3–1	Bishop's Stortford	20 November 1985
29	Rotherham United	6–0	Wolverhampton Wanderers	16 November 1985
30	Wigan Athletic	4–1	Doncaster Rovers	16 November 1985
31	Chelmsford City	1–0	Weymouth	16 November 1985
32	Nuneaton Borough	2–3	Burnley	16 November 1985
33	Slough Town	2–2	Aylesbury United	16 November 1985
Replay	Aylesbury United	2–5	Slough Town	19 November 1985
34	Whitby Town	1–0	South Liverpool	16 November 1985
35	Dagenham	2–1	Cambridge United	16 November 1985
36	Fareham Town	0–3	Maidstone United	16 November 1985
37	Swansea City	2–0	Leyton-Wingate	16 November 1985
38	Farnborough Town	0–4	Bath City	16 November 1985
39	Frickley Athletic	1–1	Halesowen Town	16 November 1985
Replay	Halesowen Town	1–3	Frickley Athletic	19 November 1985
40	VS Rugby	2–2	Orient	16 November 1985
Replay	Orient	4–1	VS Rugby	19 November 1985
