Date	Opponent	Score	Result	Record	Attendance
September 8	Boston Patriots	16-7	Loss	0–1	38,865
September 15	Oakland Raiders	48–6	Loss	0–2	43,056
September 22	at Cincinnati Bengals	34-23	Loss	0–3	24,405
September 29	New York Jets	37-35	Win	1–3	38,044
October 5	Kansas City Chiefs	18-7	Loss	1–4	40,748
October 12	at Miami Dolphins	14-14	Tie	1-4-1	28,559
October 20	at Boston Patriots	23-6	Loss	1-5-1	21,082
October 27	Houston Oilers	30-7	Loss	1-6-1	34,339
November 3	at New York Jets	25-21	Loss	1-7-1	61,452
November 10	Miami Dolphins	21-17	Loss	1–8-1	28,751
November 17	San Diego Chargers	21-6	Loss	1-9-1	27,993
November 24	at Denver Broncos	34-32	Loss	1-10-1	35,142
November 28	at Oakland Raiders	13-10	Loss	1-11-1	39,883
December 7	at Houston Oilers	35-6	Loss	1-12-1	34,110
