Game	November	Opponent	Score	Record
11	1	@ Chicago Black Hawks	3 - 2	7-3-1
12	4	@ Pittsburgh Penguins	6 - 4	7-4-1
13	5	@ Philadelphia Flyers	3 - 2	8-4-1
14	8	Vancouver Canucks	5 - 2	9-4-1
15	11	California Golden Seals	7 - 2	10-4-1
16	12	Los Angeles Kings	5 - 1	11-4-1
17	15	Philadelphia Flyers	7 - 3	12-4-1
18	18	@ St. Louis Blues	3 - 1	13-4-1
19	19	Pittsburgh Penguins	5 - 3	13-5-1
20	21	@ Atlanta Flames	3 - 1	14-5-1
21	23	@ Buffalo Sabres	5 - 3	14-6-1
22	26	Toronto Maple Leafs	7 - 4	15-6-1
23	28	@ Vancouver Canucks	2 - 1	15-7-1
24	29	@ Los Angeles Kings	2 - 2	15-7-2
