Date	Place	Race winners	GP winner	Source
29 March	Castelnau	Daniël Willemsen / Dagwin Sabbe	Jan Hendrickx / Tim Smeuninx	Result
29 March	Castelnau	Jan Hendrickx / Tim Smeuninx	Jan Hendrickx / Tim Smeuninx	Result
3 May	Wohlen	Daniël Willemsen / Sven Verbrugge	Daniël Willemsen / Sven Verbrugge	Result
17 May	Gdańsk	Daniël Willemsen / Sven Verbrugge	Daniël Willemsen / Sven Verbrugge	Result
24 May	Chernivtsi	Daniël Willemsen / Sven Verbrugge	Daniël Willemsen / Sven Verbrugge	Result
7 June	Varsseveld	Daniël Willemsen / Sven Verbrugge	Daniël Willemsen / Sven Verbrugge	Result
12 July	Genk	Marco Happich / Martin Betschart	Marco Happich / Martin Betschart	Result
12 July	Genk	Janis Daiders / Lauris Daiders	Marco Happich / Martin Betschart	Result
19 July	S'bessenbach	Janis Daiders / Lauris Daiders	Joris Hendrickx / Kaspars Liepins	Result
19 July	S'bessenbach	Joris Hendrickx / Kaspars Liepins	Joris Hendrickx / Kaspars Liepins	Result
26 July	Slagelse	Jan Hendrickx / Tim Smeuninx	Henrik Söderqvist / Tobias Sylwan	Result
26 July	Slagelse	Henrik Söderqvist / Tobias Sylwan	Henrik Söderqvist / Tobias Sylwan	Result
9 August	Kegums	Jan Hendrickx / Tim Smeuninx	Jan Hendrickx / Tim Smeuninx	Result
16 August	Penza	Daniël Willemsen / Sven Verbrugge	Daniël Willemsen / Sven Verbrugge	Result
23 August	Kiviõli	Jan Hendrickx / Tim Smeuninx	Janis Daiders / Lauris Daiders	Result
23 August	Kiviõli	Janis Daiders / Lauris Daiders	Janis Daiders / Lauris Daiders	Result
6 September	Saint-Jean	Jan Hendrickx / Tim Smeuninx	Janis Daiders / Lauris Daiders	Result
6 September	Saint-Jean	Daniël Willemsen / Sven Verbrugge	Janis Daiders / Lauris Daiders	Result
13 September	Rudersberg	Joris Hendrickx / Kaspars Liepins	Joris Hendrickx / Kaspars Liepins	Result
13 September	Rudersberg	Stuart Brown / Luke Peters	Joris Hendrickx / Kaspars Liepins	Result
27 September	Jauer	Belgium	Belgium	Belgium
