Year	Chassis	Engine	Start	Finish	Team
1988	Lola T88/00	Ford Cosworth DFX	27	21	Curb Racing
1989	Lola T88/00	Buick	12	25	Granatelli Racing
1990	March 90P	Porsche	10	21	Porsche
1991	Lola T91/00	Chevrolet 265A	7	5	Hall/VDS Racing
1992	Lola T92/00	Chevrolet 265A	14	8	Hall/VDS Racing
1993	Lola T92/00	Ford XB	24	10	A.J. Foyt Enterprises
1994	Lola T94/00	Ford XB	10	10	A.J. Foyt Enterprises
2007	Dallara	Honda	24	30	Panther Racing
2008	Dallara	Honda	21	16	Roth Racing
2009	Dallara	Honda	28	19	Richard Petty / DRR
2010	Dallara	Honda	28	30	Richard Petty / Andretti Autosport
2011	Dallara	Honda	17	22	Richard Petty / Andretti Autosport
