Round	Overall	Player	Position	College
1	7	Terry Glenn	Wide receiver	Ohio State
2	36	Lawyer Milloy	Safety	Washington
3	86	Tedy Bruschi	Linebacker	Arizona
4	101	Heath Irwin	Offensive guard	Colorado
4	119	Chris Sullivan	Defensive tackle	Boston College
4	124	Kantroy Barber	Fullback	West Virginia
5	139	John Elmore	Offensive guard	Texas
5	149	Christian Peter	Defensive tackle	Nebraska
6	173	Chris Griffin	Tight end	New Mexico
6	195	Marrio Grier	Fullback	Tennessee-Chattanooga
6	206	Devin Wyman	Defensive tackle	Kentucky State
7	216	Lovett Purnell	Tight end	West Virginia
7	247	J. R. Conrad	Offensive guard	Oklahoma
