Rnd	Circuit	GTO Winning Team	GTU Winning Team	TO Winning Team	TU Winning Team	Results
1	Texas	#42 Corvette	#59 Peter Gregg	#48 Mustang	#16 2002	Results
1	Texas	Garrett Waddall	Peter Gregg Hurley Haywood	Juan Izquierdo Daniel Muniz	Ross Norburn Phil Dermer	Results
2	Daytona	#23 Corvette	#1 Toad Hall Racing	#41 Mustang	#11 2002	Results
2	Daytona	Charlie Kemp Wilbur Pickett	Michael Keyser Bob Beasley	Jerry Crew Dan Moore	Byron Morris	Results
3	Virginia	#99 Phil Currin	#59 Peter Gregg	#27 Lou Statzer	#8 Carson Baird	Results
3	Virginia	Phil Currin	Peter Gregg Hurley Haywood	Lou Statzer Tom Dutton	Carson Baird Joe Amato	Results
4	Lime Rock	#99 Phil Currin	#31 Porsche	#15 Camaro	#86 Alfa Romeo	Results
4	Lime Rock	Phil Currin	Jim Locke Bob Bailey	Jocko Maggiacomo Jr.	Joe Diamante Walt Simendinger	Results
5	Donnybrooke	#22 Corvette	#1 Toad Hall Racing	#21 Thiokol	#8 Carson Amato	Results
5	Donnybrooke	Denny Long	Bob Beasley Levon Pentecost	Russ Norburn Robert Hennig	Joe Amato Carson Baird	Results
6	Mid-Ohio	#48 Greenwood Racing	#1 Toad Hall Racing	#17 Camaro	#24 Libra Intl. Racing	Results
6	Mid-Ohio	John Greenwood Marshall Robbins	Bob Beasley Michael Keyser	Vince Gimondo Billy Dingham	John Buffum Bert Everett	Results
7	Alabama	#2 Holiday Inn Corvette	#59 Peter Gregg	#47 Camaro	#88 Opel	Results
7	Alabama	Wilbur Pickett	Hurley Haywood	Tom Nehl	Dennis Shaw Steve Coleman	Results
8	Watkins Glen	#48 Corvette	#59 Peter Gregg	#88 Camaro	#16 Gemini Racing	Results
8	Watkins Glen	Charles West	Peter Gregg Hurley Haywood	Maurice Carter Paul Nichter	Phil Dermer	Results
9	Bryar	#41 Corvette	#76 Silverstone Racing	#88 Camaro	#84 2002	Results
9	Bryar	Bud Deshler Rodney Harris	George Stone	Maurice Carter Paul Nichter	Hans Ziereis Andy Petery	Results
10	Daytona	#96 Camaro	#2 Toad Hall Racing	#88 Camaro	#6 Gemini Racing	Results
