Date	Opponent	Score	Loss	Save
May 3	at Cleveland Indians	7-6	Brocail	||42,469||11-17
May 4	at Cleveland Indians	2-0	Nagy	Brocail
May 5	at Toronto Blue Jays	3-1	Olivares	||27,169||12-18
May 6	at Toronto Blue Jays	2-1	Jones	||26,294||12-19
May 7	Kansas City Royals	12-3	Pittsley	||7,949||13-19
May 8	Kansas City Royals	4-0	Moehler	||16,243||13-20
May 9	Cleveland Indians	5-0	Sager	||20,393||13-21
May 10	Cleveland Indians	6-0	Colon	||30,578||14-21
May 11	Cleveland Indians	11-3	Hershiser	|||19,869||15-21
May 13	Toronto Blue Jays	4-0	Guzman	||9,992||16-21
May 14	Toronto Blue Jays	7-2	Moehler	|||11,788||16-22
May 15	at Kansas City Royals	10-9	Sager	||18,160||16-23
May 16	at Kansas City Royals	10-2	Colon	||17,787||17-23
May 17	at Kansas City Royals	9-2	Hershiser	||22,891||18-23
May 18	at Kansas City Royals	6-5	Guzman	||15,333||19-23
May 20	at Baltimore Orioles	4-3	Moehler	||48,003||19-24
May 21	at Baltimore Orioles	2-0	Thompson	Myers
May 23	Texas Rangers	7-1	Oliver	||16,017||20-25
May 24	Texas Rangers	8-4	Pugh	||10,797||20-26
May 25	Texas Rangers	13-5	Witt	Sager
May 26	Anaheim Angels	6-0	Finley	||12,562||22-26
May 27	Anaheim Angels	6-2	Perisho	Myers
May 28	Baltimore Orioles	8-1	Moehler	Boskie
May 30	at Seattle Mariners	5-2	Fassero	Jones
May 31	at Seattle Mariners	4-2	Wolcott	Jones
