Player	Height	Position	Year born	Current Club
Dror Hagag	1.78	Guard	1978	Hapoel Jerusalem
Moran Rot	1.78	Guard	1982	Hapoel Holon
Yotam Halperin	1.96	Guard	1984	Maccabi Tel Aviv
Lior Eliyahu	2.05	Forward	1985	Maccabi Tel Aviv
Erez Markovich	2.08	Center	1978	Hapoel Jerusalem
Jeron Roberts	1.94	Guard	1976	Demon Astronauts Amsterdam
Guy Pnini	2.01	Forward	1983	Hapoel Jerusalem
Meir Tapiro	1.94	Guard	1975	Bnei HaSharon
Matan Naor	1.94	Forward	1980	Ironi Nahariya
Ido Kozikaro	2.02	Forward	1978	Ironi Nahariya
Yaniv Green	2.06	Forward	1980	CSK VVS Samara
Amit Tamir	2.08	Center	1979	Cherkassy Monkeys
